MID	state	page	role	content	ps	book
530	12	209	鹿嫂	藉著人放炮, 查某囝仔著驚的時瞬, 去給人 (kang5) 攔, 乎彼個查某囝仔西嘴巴, 嘛煞去乎人 (hong7) 趕出來, 賴 bue7 見笑你知莫?......	NULL	邱罔舍第二部
531	12	209	邱姆	都是乘過頭去啦, 因為阮厝三房央伊中H, 伊恩老父, 老母早過逝, 自細漢無人教示, 所以藉哩亂來, 哀喲, 是安怎?	NULL	邱罔舍第二部
532	12	209	鹿嫂	僥倖噢, 今是安怎?	NULL	邱罔舍第二部
533	12	210	邱姆	你是安怎? 破病是莫? 歸身軀那會濕漉漉!	NULL	邱罔舍第二部
534	12	210	阿三	好, 知影啊......	NULL	邱罔舍第二部
535	12	210	罔舍	會記得噢, 有大誌正當放, 無大誌不當放啊!	NULL	邱罔舍第二部
536	12	210	邱伯	去乎罔的惘去啦.	NULL	邱罔舍第二部
537	12	210	邱姆	哼, 這個夭壽死囝仔, 真大膽, 也敢惘阿伯?	NULL	邱罔舍第二部
538	12	210	鹿嫂	真不孝, 也 bue7 去乎雷公 bue7 死!	NULL	邱罔舍第二部
539	12	210	邱伯	這是我家治譟N的, 要講啥! 是我叫伊惘的!	NULL	邱罔舍第二部
540	12	210	邱姆	哈啊? 你不抵小 (siau2) ! 啊煞有人叫人惘家治, 惘乎半小死! 你嘛乘囝仔乘到無款去!	NULL	邱罔舍第二部
541	12	210	鹿嫂	彼有影乘到無款去 [aa], 要是我嚕, 突生出來, 就加鄭鄭死!	NULL	邱罔舍第二部
542	12	210	邱姆	都講阮三房愛央伊中H [jj], 抑都直加乘, 乘到要爬起去頭殼尾頂放屎! 哼! 這款的囝仔 bue7 央的啦!	NULL	邱罔舍第二部
543	12	210	鹿嫂	彼 bue7 央的 [aa] ! 要將會央的!	NULL	邱罔舍第二部
544	12	210	邱姆	伊都干擔會曉惘憨人耳耳, 要是我嚕, 伊要惘五衲ㄢf仔腳倉? 哼! 入來去!	NULL	邱罔舍第二部
545	12	209	鹿嫂	你不知影, 你罔的, 規庄都給人 (kang5) 惘到要透去噢, 眾人冊伊中H你知影莫?	NULL	邱罔舍第二部
546	14	212	罔舍	哀喲! 這是你叫我做的, 你敢無是罵我做無五虒}倉樣?	NULL	邱罔舍第二部
547	14	212	邱伯	所以罵人 bue7 用得隨便罵, 你濫 [nn] 罵, 所以伊正會濫 [nn] 做, 哈哈哈!	NULL	邱罔舍第二部
548	14	212	罔舍	喝, 看覓咧, 這不是腳倉樣是啥貨?	NULL	邱罔舍第二部
549	14	212	邱姆	斬頭你! 都是你乘伊, 正會藉好大膽!	NULL	邱罔舍第二部
550	17	215	罔舍	你看我潛入鹿仔嫂的旁邊去, 若無大誌你棉花不免放, 若有大誌, 你站滯風頭裡, 將棉花云蔗? 放到了 (liau2), 不當乎人看見, 知影莫?	NULL	邱罔舍第二部
551	17	215	阿三	好, 知影啊......	NULL	邱罔舍第二部
552	17	215	罔舍	會記得噢, 有大誌正當放, 無大誌不當放啊!	NULL	邱罔舍第二部
553	18	218	罔舍	嚶, 給你買!	NULL	邱罔舍第二部
554	18	218	拳師	要愛幾啻?	NULL	邱罔舍第二部
555	18	218	罔舍	攏買要賴 tsue7 錢?	NULL	邱罔舍第二部
556	18	218	拳師	哈啊要攏買?	NULL	邱罔舍第二部
557	18	218	罔舍	是, 若有影會好, 攏買!	NULL	邱罔舍第二部
558	18	219	添福	喂, 彼個敢不是邱仔罔舍?	NULL	邱罔舍第二部
559	18	219	四海	拍算是噢......	NULL	邱罔舍第二部
560	18	219	罔舍	攏總賴 tsue7 錢?	NULL	邱罔舍第二部
561	18	219	拳師	嚶嚶, 嚶嚶......嚶算, 嚶算三塊銀著好啦, 會尚貴莫? 若......	NULL	邱罔舍第二部
562	18	219	罔舍	若會好, bue7 貴, 攏給你買! 五塊銀給你.	NULL	邱罔舍第二部
563	18	219	拳師	五塊銀啊? 多謝! 多謝!	NULL	邱罔舍第二部
564	18	219	阿鹿	敢是伊?	NULL	邱罔舍第二部
565	18	219	四海	我看, 是......	NULL	邱罔舍第二部
566	18	219	阿鹿	你是邱仔罔舍是莫? 講!	NULL	邱罔舍第二部
567	18	219	阿杰	是, 就是伊!	NULL	邱罔舍第二部
568	18	219	拳師	你是安怎隨便拍人?	NULL	邱罔舍第二部
569	18	220	阿鹿	伊就是邱仔罔舍, 阮規庄的人都攏乎伊惘到要了去, 無加教示 bue7 用得!	NULL	邱罔舍第二部
570	18	220	拳師	久仰大名, 原來你就是邱罔舍! 阮四海江湖眾ㄞu尊敬你, 大家都稱讚你是英雄, 今仔日會得當合你見面, 實在真榮幸!	NULL	邱罔舍第二部
571	18	220	添福	啥貨, 彼隻瘦猴, 講是英雄啊, 彼個拍拳頭的不抵小!	NULL	邱罔舍第二部
572	18	220	阿鹿	講痛, 這個專的惘人, 是之嶽`蟲, 什麼講是英雄? 笑破人的嘴!	NULL	邱罔舍第二部
573	18	220	拳師	啥人敢摸著邱舍我就對付伊.	NULL	邱罔舍第二部
574	18	220	阿明	你是安怎, 家己的雞母不關乎好, 要拍人的 [oo] 葉, 你大家轉去看您家治的翁某看覓咧, 戲不看, 偷走去阮的棉花園創啥貨?	NULL	邱罔舍第二部
575	18	220	添福	加講話!	NULL	邱罔舍第二部
576	18	220	拳師	邱舍的慷慨是全台灣最出名, 伊有錢不愛做官, 不愛地位, 只有欺負伊, 伊正有報復, 只有愛錢的人, 伊正有用錢加侮辱, 安呢就是英雄!	NULL	邱罔舍第二部
577	18	221	罔舍	好漢, 請不要褒老 (o7 lo2), 我是五茧L路用人.	NULL	邱罔舍第二部
578	18	218	拳師	看覓咧, 槓著, 拍著, 掙著, [vv] 著, 腰骨酸軟, 風吹背痛, 手足抽筋, 半身不遂, 貼我這個膏藥, 不免中曈ㄦ|好, 不信試看覓咧, 貼了後若無效, 免錢.	NULL	邱罔舍第二部
579	18	218	拳師	仇蚺G十文錢. 來來來! 買仇蚾e仇? 無效免錢, 買去試看咧!	NULL	邱罔舍第二部
580	19	221	阿鹿	拍你頭殼安怎有棉花 [bb], 昨暗你去邱罔舍的棉花園創啥貨? 您娘你!	NULL	邱罔舍第二部
581	19	221	鹿嫂	斬頭短命, 你今是拍我安怎?	NULL	邱罔舍第二部
582	2	196	邱伯	嗯......安怎香蕉皮濫撒揭?	NULL	邱罔舍第二部
583	2	196	罔舍	失禮, 不知影阿伯會來......	NULL	邱罔舍第二部
584	2	196	邱伯	嗯, 你抵創啥?	NULL	邱罔舍第二部
585	2	196	罔舍	抵讀冊......	NULL	邱罔舍第二部
586	2	196	邱伯	乎! 你彼用功, 這科的確考會朝, 哈哈哈哈!	NULL	邱罔舍第二部
587	2	196	罔舍	阿伯, 以後我無愛去考阿啦.	NULL	邱罔舍第二部
588	2	196	邱姆	斬頭你! 都是你乘伊, 正會藉好大膽!	NULL	邱罔舍第二部
589	2	196	邱伯	彼, bue7 用的, 阮三房央你中H, 你們三叔合我都攏中秀才, 你做考 bue7 著進士壯元, 嘛著愛舉人, 舉人做考無著, 上少嘛著愛秀才正會用得.	NULL	邱罔舍第二部
590	2	196	罔舍	阿伯, 讀冊做官, 敢不是想要賺錢, 未做官賺錢, 著愛先送紅包, 這算那會和啊?	NULL	邱罔舍第二部
591	2	196	邱伯	憨囝仔你, 咱今先送紅包乎人, 別日仔換別人送紅包乎咱們, 敢不是同款? 有時瞬所收的利, 比毋加幾阿十倍你知哩?	NULL	邱罔舍第二部
592	2	197	罔舍	這落錢我不敢賺, 賺了死去落陰間, 會乎閻羅王掠去酸d銅柱, 落油鼎, 唉喲, 我驚!	NULL	邱罔舍第二部
593	2	197	邱伯	罔的, 你嘛不當安呢講, 啥貨阿落油鼎嚕, 攔銅柱嚕......彼攏無影無元? 若有影, 啥人敢做? 抑, 你們阿公嘛 bue7 彼好額, 嗯, 嗯彼無影, 嘿......罔的, 聽見講, 你三嬸阿乎你惘中U煞要乎您三叔阿 tshua7 小姨, 哈哈哈, 這滿你來惘您阿姆中U安怎?	NULL	邱罔舍第二部
594	2	197	罔舍	阿伯, 彼我也敢? 阮阿姆彼赤!	NULL	邱罔舍第二部
595	2	197	邱伯	bue7 啦, 伊阿煞敢拍你, 你若拍你, 我正為你......	NULL	邱罔舍第二部
596	2	197	罔舍	你阿煞敢為我? 你比阮三叔阿還較驚某 [bb] 啊!	NULL	邱罔舍第二部
597	2	197	邱伯	我阿煞驚伊? 我無親像您三叔阿彼無膽! 撥做是我嚕, 您大姆乎拍中U嘛死.	NULL	邱罔舍第二部
598	2	197	邱伯	罔的, 你不信是莫? 不信, 伊若來, 我拍乎你看! 哼!	NULL	邱罔舍第二部
599	2	198	邱姆	你抵講啥貨? 啥啊!	NULL	邱罔舍第二部
600	2	198	邱伯	夫人在上, 丈夫有禮......	NULL	邱罔舍第二部
601	2	198	邱姆	免抵假魁! 你講啥貨?! 講!	NULL	邱罔舍第二部
602	2	198	邱伯	無啦, 合罔的低講惘是安怎惘啦, 惘了若無款, 要拍中U乎你看......	NULL	邱罔舍第二部
603	2	198	邱姆	你講罔的, 罔的治 to7?	NULL	邱罔舍第二部
604	2	198	邱伯	罔的! 罔的! 你嘛不當害阿伯! 出來見你阿姆, 快! 你若不出來, 阿伯的耳仔會落脫去啊!	NULL	邱罔舍第二部
605	2	198	邱姆	你藉好大膽, 敢講要拍我, 來, 拍我看覓咧, 無, 愛跪落去!	NULL	邱罔舍第二部
606	2	198	邱伯	埋啦, 乎人看見嘛呆勢! 罔的! 趕緊來救阿伯!	NULL	邱罔舍第二部
607	2	198	邱姆	罔的, 突正您阿伯講啥貨?!	NULL	邱罔舍第二部
608	2	198	邱伯	罔的!	NULL	邱罔舍第二部
609	2	198	罔舍	講......	NULL	邱罔舍第二部
610	2	199	邱伯	罔的!......	NULL	邱罔舍第二部
611	2	199	邱姆	不准您用目周講話!	NULL	邱罔舍第二部
612	2	199	罔舍	講我若惘你, 伊要加我拍!	NULL	邱罔舍第二部
613	2	199	邱姆	無啊, 您不都有想要惘我是莫?	NULL	邱罔舍第二部
614	2	199	罔舍	無啦, 我也敢想要惘你, 阮是治底惘講惘講耳啊!	NULL	邱罔舍第二部
615	2	199	邱姆	你中擐Y飽都干擔想要惘人, 憨人不正乎你會惘得, 傑人啥人乎你會惘哩?	NULL	邱罔舍第二部
616	2	199	罔舍	我都無要惘人, 抑若要惘人嚕, 我只有惘傑人, 無要惘憨人啦......	NULL	邱罔舍第二部
617	2	199	邱姆	惘你的死人, 惘你的腳倉啦.	NULL	邱罔舍第二部
618	2	199	邱伯	佳哉, 罔的你的機智真好, 若無這滿著會乎彼個赤查某拍死! 罔的......你彼熬惘, 嗯, 你麼惘中U乎阿伯看覓咧, 阿伯干擔曾聽見你惘, 卻不曾看著你惘, 你惘乎阿伯看覓咧好莫?	NULL	邱罔舍第二部
619	2	199	罔舍	叫我安怎惘?......阿伯我不敢惘.	NULL	邱罔舍第二部
620	2	200	邱伯	無要緊啦, 你安怎惘, 阿伯都 bue7 受氣, 快, 惘看覓仔咧, 罔的!	NULL	邱罔舍第二部
621	2	200	罔舍	不啊, 你會受氣......	NULL	邱罔舍第二部
622	2	200	邱伯	bue7 bue7, 予w bue7 受氣, 趁這中到時, 吃飽閒閒無大誌, 來來, 來惘中U看覓.	NULL	邱罔舍第二部
623	2	200	罔舍	若安呢, 好, 阿伯你若彼愛惘, 我惘中U乎你看......, 阿三, 阿明, 您去提烘爐, 魁扇, 火炭, 抑合茶鼓, 茶罐, 茶杯來, 抑羊羔裘先提來!	NULL	邱罔舍第二部
624	2	200	阿三, 阿明	好.	NULL	邱罔舍第二部
625	2	200	邱伯	嚶, 藉利熱, 提羊羔裘創啥?	NULL	邱罔舍第二部
626	2	200	罔舍	你不知影, 自有用處.	NULL	邱罔舍第二部
627	2	200	邱伯	你今 gia5 椅子仔要創啥貨?	NULL	邱罔舍第二部
628	2	200	罔舍	要乎你坐, 坐的看, 正 bue7 thiam2.....	NULL	邱罔舍第二部
629	2	200	邱伯	噯, 你真聰明, 著著, 安呢著!	NULL	邱罔舍第二部
630	2	200	邱伯	嘿, 穿羊羔裘創啥?	NULL	邱罔舍第二部
631	2	201	罔舍	安呢正 bue7 熱.	NULL	邱罔舍第二部
632	2	201	邱伯	你抵創治我, 我是要看你惘, 並不是要乎你惘噢.	NULL	邱罔舍第二部
633	2	201	罔舍	你不是要看我惘? 安呢即麼你先去庭裡.	NULL	邱罔舍第二部
634	2	201	邱伯	要你惘我 [ll] 滯這兒看著好, 出去庭裡創啥?	NULL	邱罔舍第二部
635	2	201	罔舍	庭裡較闊.	NULL	邱罔舍第二部
636	2	201	邱伯	呼......庭裡較闊......	NULL	邱罔舍第二部
637	2	201	罔舍	我是驚見你曝日會熱, 所以正提羊羔裘要乎你穿, 若無, 我要創治你, 就會提舖棉裘乎你穿, 啊, 好心的煞乎雷槓!	NULL	邱罔舍第二部
638	2	201	邱伯	騙我彼 tsue7, 噢, 羊羔裘比舖棉裘較燒, 你安怎顛倒講?	NULL	邱罔舍第二部
639	2	201	罔舍	不是啦, 彼是無曝日正安呢講, 若曝日, 就有毛遮的較 bue7 熱, 你看咱頭殼若無頭毛曝日就較熱, 若毛著就較 bue7 熱, 敢不是安呢?	NULL	邱罔舍第二部
640	2	201	邱伯	嗯, 有理, 有理, 抑今 (taN1) 呢?	NULL	邱罔舍第二部
641	2	201	罔舍	今穿咧 [jj], 來, 坐滯樹腳較涼.	NULL	邱罔舍第二部
642	2	201	邱伯	彼不真熱?	NULL	邱罔舍第二部
643	2	201	罔舍	穿落去倒 bue7 熱, 不信, 你穿看覓咧.	NULL	邱罔舍第二部
644	2	202	邱伯	有影, 有影, 穿落去夠 bue7 安怎熱!	NULL	邱罔舍第二部
645	2	202	罔舍	阿三趕緊去提火炭, 阿明你去提烘爐扇來.	NULL	邱罔舍第二部
646	2	202	邱伯	罔的, 你今不趕緊惘, 真底熱起來阿哩喲!	NULL	邱罔舍第二部
647	2	202	罔舍	要要! 阿明, 阿三, 你們去甲阮阿伯 [kk] 風, 我煎茶乎阮阿伯吃.	NULL	邱罔舍第二部
648	2	202	邱伯	我不吃茶, 我干擔要看你惘耳耳, 你趕緊惘, 快!	NULL	邱罔舍第二部
649	2	202	罔舍	好好, 我入來去準備.	NULL	邱罔舍第二部
650	2	193	罔舍	阿伯, 你來.	NULL	邱罔舍第二部
651	21	223	太太	你的棉花致 to7 位來的, 你叫是我不知 [ee] !	NULL	邱罔舍第二部
652	21	223	添福	你抵小是莫? 你拍我安怎?	NULL	邱罔舍第二部
653	22	224	太太	抑你頭毛, 腳脊偏, 安怎有棉花?	NULL	邱罔舍第二部
654	22	224	阿杰	啥貨我也有?	NULL	邱罔舍第二部
655	22	224	阿杰	唉唉, 咱去乎邱仔罔舍惘去啊. 唉好, 這個小子!	NULL	邱罔舍第二部
656	22	224	太太	伊也無來, 安怎惘咱?	NULL	邱罔舍第二部
657	22	224	阿杰	你敢無聽見邱罔舍放謠言, 講咱們戲不看, 走去棉花園做好大誌?	NULL	邱罔舍第二部
658	22	224	太太	有影, 好, 這個夭壽死囝仔, 真岌^, 若無規庄會齊來加打疊 bue7 用得!	NULL	邱罔舍第二部
659	22	224	阿杰	氣伊那有路用? 是咱 (lan2) 家治要乎惘, 人伊敢有叫咱們吃醋相拍, 是咱們家治憨, 要講啥貨.	NULL	邱罔舍第二部
660	23	225	阿三	阿舍, 貼安呢, 蓋成穿戰甲, 確實有五茩^雄款!	NULL	邱罔舍第二部
661	24	226	先進	好 [pp], 好久無看見啊, 最近不知抵創啥貨?	NULL	邱罔舍第二部
662	24	226	學魚	慢且, 這個離罔的厝無賴遠, 咱來去找伊坐坐咧安怎?	NULL	邱罔舍第二部
663	27	228	先進	好, 阮滯這兒等中U	NULL	邱罔舍第二部
664	27	228	阿明	請坐介楫堨J, 我來去叫阮少爺.	NULL	邱罔舍第二部
665	28	228	罔舍	先進合學魚? 好, 隨時去.	NULL	邱罔舍第二部
666	28	228	阿明	少爺, 先進, 學魚二位秀才來找你, 這時治書房裡.	NULL	邱罔舍第二部
667	29	229	罔舍	二位賢兄罕行! 請坐......今仔日有啥指教是莫?	NULL	邱罔舍第二部
668	29	229	先進	無無無, 只是順便來看你耳耳.	NULL	邱罔舍第二部
669	29	229	學魚	邱大哥, 自你決意不再投考以後, 你的性格, 變成 tsue7 你知影莫? 哈哈哈!	NULL	邱罔舍第二部
670	29	229	先進	像這款黑暗腐敗的朝代, 因為憂時慨? 厭惡人生是難免,	NULL	邱罔舍第二部
671	29	229	先進	但你連性格也改變, 這是罕有的大誌......	NULL	邱罔舍第二部
672	29	230	罔舍	敢有影安呢?	NULL	邱罔舍第二部
673	29	230	學魚	變正 tsue7 噢, 你家己不知影......你頂日講惘規庄的人相拍, 致使你也自惹禍患, 煞乎人拍到著傷, 敢有影這款的大誌?	NULL	邱罔舍第二部
674	29	230	罔舍	有影, 事實卻不是我惘 in7, 是因為 in7 無自覺, 家己亂起來的......	NULL	邱罔舍第二部
675	29	230	學魚	"你的行為, 會用得講是 ""玩奶ㄝ功"" 的惡岌^, 我若無它r講......"	NULL	邱罔舍第二部
676	29	230	罔舍	我愛看扒﹞H愛錢愛到啥貨款的, 老百姓憨憨到啥貨款的, 驚勢力驚到啥貨款的, 驚死驚到啥貨款的, 無試不知影, 所以我要試看覓咧.	NULL	邱罔舍第二部
677	29	230	先進	"這免試, 干擔想嘛會知影, 加試是加吃力, 有冬時仔煞會自惹殺身之禍, 連生命都會拍無去噢! 你無聽見 ""有錢使鬼嘛會 [qq] 磨"", 你敢曾遇著有錢使 bue7 行的大誌?"	NULL	邱罔舍第二部
678	29	230	罔舍	有, 有五茯d某囝仔號做喜雀, 伊看金錢看做臭物件, 乎你用金錢是 bue7 買得.	NULL	邱罔舍第二部
679	29	230	先進	安呢生! 這就太奇啊!	NULL	邱罔舍第二部
680	29	230	學魚	今仔日, 真好天, 咱出來去外面 tshit8 tho5 好莫? 你嘛較 mai2 滯內面裡鬱鬱悶悶.	NULL	邱罔舍第二部
681	29	231	罔舍	好, 出來去......	NULL	邱罔舍第二部
682	29	229	先進	邱大哥, 好久無來看你啊......	NULL	邱罔舍第二部
683	31	232	學魚	是啊, 就是彼的赤查某囝仔啊!	NULL	邱罔舍第二部
684	31	232	罔舍	噢, 彼的嚕, 彼的就是咱突正抵講彼的喜雀啦! 彼突好, 講人人就到.	NULL	邱罔舍第二部
685	31	232	先進	邱大哥你過敢給喜弄中U莫?	NULL	邱罔舍第二部
686	31	232	罔舍	頂滿, 過年暗, 伊去乎放炮驚著, 走來乎我 mo3, 我叫是對我有啥意思, 無疑誤煞去乎 [rr] 幾啊下! 我依樣有想要過加試內′摀V咧......	NULL	邱罔舍第二部
687	31	232	學魚	試看覓咧, 過合你燒輸內? 這滿你若 bue7 乎 [rr], 阮輸你......	NULL	邱罔舍第二部
688	31	232	罔舍	燒輸賴 tsue7?	NULL	邱罔舍第二部
689	31	232	學魚	十兩銀.	NULL	邱罔舍第二部
690	31	232	罔舍	您闔遇著愛燒輸, 若彼愛燒輸, 好, 合你燒輸.	NULL	邱罔舍第二部
691	31	232	先進	水查某囝仔行小路, 足好看的啦, 你看!	NULL	邱罔舍第二部
692	31	232	先進	彼的, 你看覓咧, 彼的敢不是彼的赤查某囝仔.	NULL	邱罔舍第二部
693	32	235	罔舍	我跋落田底, 煞去乎閃中U, 腰脊骨正痛!	NULL	邱罔舍第二部
694	32	235	拳師	彼滿膏藥貼了有好莫?	NULL	邱罔舍第二部
695	32	235	罔舍	有, 有好, 你的膏藥正好用, 實在有價值! 你來阮兜, 我請你.	NULL	邱罔舍第二部
696	32	235	拳師	豈敢, 豈敢, 安呢呆勢 [aa].	NULL	邱罔舍第二部
697	32	235	罔舍	bue7 bue7, 請你埋細膩, 來來, 來去!	NULL	邱罔舍第二部
698	32	235	拳師	敢好!	NULL	邱罔舍第二部
699	32	235	罔舍	好好, 來去, 來去, 快!	NULL	邱罔舍第二部
700	32	235	拳師	邱少爺, 你要 to7 位去, 你身軀那會安呢?	NULL	邱罔舍第二部
701	33	236	喜雀	好啦, 抵縛花啦, 明仔早起當好賣.	NULL	邱罔舍第二部
702	33	236	雀父	咱自受邱少爺的致蔭以後, 就加真好過日, 我到今還直的感謝伊, 你近來曾聽著伊的消息莫?	NULL	邱罔舍第二部
703	33	236	喜雀	煞著感謝伊, 講著這個人, 嘛氣死去!	NULL	邱罔舍第二部
704	33	236	雀父	是安怎是 [jj] ?	NULL	邱罔舍第二部
705	33	236	喜雀	啊, 無愛講啊啦......	NULL	邱罔舍第二部
706	33	236	雀父	喜雀, 你抵創啥, 到今也未要煮飯.	NULL	邱罔舍第二部
707	34	237	徒弟	師父安呢好啦, 邱少爺真多謝 [aa], 阮師父自今仔日起, 來做你的保鏢......	NULL	邱罔舍第二部
708	34	237	罔舍	嗨, 不當講保鏢, 是做我的朋友, 合我做伴.	NULL	邱罔舍第二部
709	34	237	罔舍	我是五荇z者, 身無縛雞之力, 請你滯我厝裡, 合我做伴, 薪津照發, 你的徒弟若無凍去, 自安呢滯我這兒也好.	NULL	邱罔舍第二部
710	35	238	乙	咱通庄裡的查某囝仔, 就是這個上水! 來去給買!	NULL	邱罔舍第二部
711	35	238	丁嫂	你要創啥?	NULL	邱罔舍第二部
712	35	238	丁	買花啊......	NULL	邱罔舍第二部
713	35	238	丁嫂	啥人叫你買?	NULL	邱罔舍第二部
714	35	238	丁	嗯, 敢不是愛獻佛祖?	NULL	邱罔舍第二部
715	35	238	丁嫂	彼都不免你管, 你那著彼腦力!	NULL	邱罔舍第二部
716	35	238	丁	呼, 不免就不免, 我是想要替你買[bb]......	NULL	邱罔舍第二部
717	35	239	薛剛	這個小姐叫什麼名字?	NULL	邱罔舍第二部
718	35	239	乙	叫做喜雀.	NULL	邱罔舍第二部
719	35	239	薛剛	住在那裡?	NULL	邱罔舍第二部
720	35	239	乙	就是這庄裡......	NULL	邱罔舍第二部
721	35	239	A	查某囝仔, 花之熂?tsue7 ?	NULL	邱罔舍第二部
722	35	239	喜雀	之滮Q文......	NULL	邱罔舍第二部
723	35	239	A	較減的會用得莫?	NULL	邱罔舍第二部
724	35	239	喜雀	無啦, 攏同款, 你愛幾把?	NULL	邱罔舍第二部
725	35	239	A	抑無......較 tsue7 錢給你會用得莫?	NULL	邱罔舍第二部
726	35	239	喜雀	十文就是十文, 你提較 tsue7 錢來嘛給你收十文耳耳? 若無愛買, 走較邊仔去, 埋滯這兒吵啦!	NULL	邱罔舍第二部
727	35	239	A	合你講價數安怎講吵你?	NULL	邱罔舍第二部
728	35	239	喜雀	人抵無閒, 你也無看見?	NULL	邱罔舍第二部
729	35	240	B	看你目憂目結, 看著還較水.	NULL	邱罔舍第二部
730	35	240	喜雀	你這不使死鬼!	NULL	邱罔舍第二部
731	35	240	罔舍	bue7 使哩! 幾個查埔人欺負五茯d某囝仔.	NULL	邱罔舍第二部
732	35	240	A	你講啥! 無你的大誌!	NULL	邱罔舍第二部
733	35	238	甲	你看咧, 彼的賣花的查某囝仔又來啊.	NULL	邱罔舍第二部
734	36	241	拳師	彼敢不是彼日彼個查某囝仔?	NULL	邱罔舍第二部
735	36	242	罔舍	是的款......敢會彼突好, 致這兒來......?	NULL	邱罔舍第二部
736	36	242	拳師	彼的查某囝仔確實有赤, 我罕得看見親像彼赤的查某囝仔......	NULL	邱罔舍第二部
737	36	242	挑缸人	喂, 閃咧!	NULL	邱罔舍第二部
738	36	242	罔舍	鋪還未好, 且等咧......	NULL	邱罔舍第二部
739	36	242	挑缸人	閃咧啦! 等! 等啥?!	NULL	邱罔舍第二部
740	36	242	罔舍	舖未好, 你若踏無好勢, 會跋落去.	NULL	邱罔舍第二部
741	36	242	挑缸人	合你治大代! 快走!	NULL	邱罔舍第二部
742	36	243	工人	衰衰, 安怎這兒衰!	NULL	邱罔舍第二部
743	36	243	罔舍	[ss] 破仆氻p醃缸那差氣到安呢!	NULL	邱罔舍第二部
744	36	243	工人	我不是了去二粒醃缸抵受氣, 是我那會彼憨, 仆优陳}抑無,	NULL	邱罔舍第二部
745	36	244	工人	還未知, 就致好的缸拍破, 所以愈想愈不甘?	NULL	邱罔舍第二部
746	36	244	罔舍	今無要緊, 算是我石頭舖無好, 害你去乎跋落去, 煞弄破缸, 啦, 我二兩銀賠你啦!	NULL	邱罔舍第二部
747	36	244	工人	彼我不 [aa], 二粒缸賴 tsue7 錢, 我加你提到二兩銀! 不免, 我不愛加你提錢!	NULL	邱罔舍第二部
748	36	244	罔舍	無要緊你提去啦, 你算是艱苦人......	NULL	邱罔舍第二部
749	36	244	工人	魯力! 我艱苦罔艱苦, 我無提你的錢的理由.	NULL	邱罔舍第二部
750	36	244	拳師	你是安怎對揖彼兒哩恭敬?	NULL	邱罔舍第二部
751	36	244	罔舍	扒﹞H逐家都真愛錢, 無愛錢的人真少, 這個散凶人不貪財, 會曉無愛錢, 使我那不尊敬伊?	NULL	邱罔舍第二部
752	36	244	拳師	是是!	NULL	邱罔舍第二部
753	36	244	罔舍	我到今只識二個無愛錢的人, 五茯O喜雀, 五茯O這個賣醃缸的......	NULL	邱罔舍第二部
754	36	245	阿田	喂, 你是邱仔罔舍是莫?	NULL	邱罔舍第二部
755	36	245	罔舍	是......	NULL	邱罔舍第二部
756	36	245	阿田	哼! 臭人! 規庄的人都冊你中H, 你著較細膩咧!	NULL	邱罔舍第二部
757	36	245	罔舍	多謝, 多謝.	NULL	邱罔舍第二部
758	36	245	阿田	你若不時要安呢惘人, 你會乎人拍死, 會記得啊!	NULL	邱罔舍第二部
759	36	245	阿田	別人乎你會惘得, 我這阿田你識我莫? 乎你 bue7 惘得啊!	NULL	邱罔舍第二部
760	36	245	拳師	這個人欺人太甚, 這 (tsia1) 兒哩無禮!	NULL	邱罔舍第二部
761	36	245	罔舍	bue7 插伊, 君子報冤三年, 怎麼忍無三點鐘!	NULL	邱罔舍第二部
762	36	241	罔舍	這角勢風景真好, 我常愛來這兒散步.	NULL	邱罔舍第二部
763	37	246	阿枝	你安怎加侮辱?	NULL	邱罔舍第二部
764	37	246	阿田	我嚕, 遇著伊, 屎桶著給 [tt] (lu1) 去, 罵伊四家惘人, 給講我竟是乎伊 bue7 惘的, 伊若敢惘我, 會乎我拍死!	NULL	邱罔舍第二部
765	37	246	阿榮	抑伊安怎講?	NULL	邱罔舍第二部
766	37	246	阿田	伊見著我敢喘氣嚕, 頭殼臼臼擋, 連敢噓哈中U嘛不敢!	NULL	邱罔舍第二部
767	37	246	阿枝	噯, 阿田上本領, 干單你有才調動伊爾耳.	NULL	邱罔舍第二部
768	37	246	阿田	我突正遇著邱罔舍, 您爸著加侮辱啊!	NULL	邱罔舍第二部
769	40	248	罔舍	我已過來三分之二以上了, 你倒退幾步, 就到岸頂, 你退倒轉去好 [jj] !	NULL	邱罔舍第二部
770	40	248	阿田	哇哈, 我有擔物件, 你叫我退倒轉去, 你空手, 那不退倒去.	NULL	邱罔舍第二部
771	40	248	罔舍	埋啦, 你只退幾腳步, 就好勢啊......我著要行彼遠! 過, 這橋我無啥仔敢行.	NULL	邱罔舍第二部
772	40	249	阿田	bue7 用哩! 你不退, 我屎桶就給你 [tt] 去! 要退 [jj] ?	NULL	邱罔舍第二部
773	40	249	罔舍	抑無安呢, 你屎桶放落來, 我給你投扛過岸去, 有扛物件, 看會較在 [jj], 無我空手行著真驚, 硬用要乎風吹落橋腳去.	NULL	邱罔舍第二部
774	40	249	阿田	你敢有法哩?	NULL	邱罔舍第二部
775	40	249	罔舍	罔試看覓咧......	NULL	邱罔舍第二部
776	40	249	阿田	安呢好, 肩甲頭痛不當怪我噢!	NULL	邱罔舍第二部
