type,pos,釋義1
屍體,Na,
屎,Na,
屎尿,Na,【名】大小便等排泄物。
屏,VA,
屏東,Nc,附錄－地名－火車線站名
屏東市,Nc,縣市(附錄－地名－臺灣縣市行政區名)
屏東縣,Nc,縣市(附錄－地名－臺灣縣市行政區名)
屏風,Na,
屑,Na,
展,VC,附錄－百家姓
展出,VC,
展望,VJ,
展現,VC,
展示,VC,
展覽,VC,【動】陳列出特定物品供人觀看。
展開,VC,【動】把東西張開。例：你緊共雨傘展開，無，會沃澹去！Lí kín kā hōo-suànn thián--khui, bô, ē ak-tâm--khì! (你趕快把雨傘打開，不然會淋溼了！)　
屜,Na,【名】抽屜。例：頂屜　tíng-thuah(上面的抽屜)。
屠,VC,附錄－百家姓
屠殺,VC,
屢,D,
層,Nf,1.【量】計算重疊、累積物單位。例：三層肉　sam-tsân-bah(五花肉)。
層次,Na,
層級,Na,
層面,Na,
履,VCL,
履歷,Na,
履歷表,Na,
履行,VC,
屬,VG,
屬下,Na,
屬性,Na,
屬於,VJ,
屯,Nb,
山,Na,1.【名】地形隆起的部分。例：懸山　kuân suann(高山)。
山佳,Nc,附錄－地名－火車線站名
山內,Nc,【名】山裡、山上。例：阮兜較早佇咧山內種果子。Guán tau khah-tsá tī-leh suann-lāi tsìng kué-tsí. (我們家以前在山上種水果。)　
山勢,Na,【名】山的形勢。例：咱蹛這角圍仔，山勢較低。Lán tuà tsit kak uî á, suann-sè khah kē. (我們住的這一帶，地勢比較低。)　
山區,Nc,
山地,Nc,
山坑,Na,
山坡,Na,
山坡地,Na,
山崎,Na,【名】山坡。例：老人驚跋倒，毋好山崎。Lāu lâng kiann pua̍h-tó, m̄-hó peh suann-kiā. (老人家怕跌倒，不能爬山坡。)　
山嶺,Na,【名】山脈。連綿的高山。
山歌,Na,
山水,Na,
山泉水,Na,
山洞,Na,【名】位在山林之中，自然形成的洞穴。
山溝,Na,【名】山澗、山谷。例：伊跋落去山溝，跤骨摔斷去。I pua̍h lo̍h-khì suann-kau, kha-kut siak tn̄g--khì. (他跌落山谷，腳摔斷了。)　
山珍,Na,
山珍海味,Na,【名】山中和海中所生產的各式各樣的珍貴食品。例：兜是好額人，逐頓食的攏是山珍海味。In tau sī hó-gia̍h-lâng, ta̍k tǹg tsia̍h--ê lóng sī san-tin-hái-bī. (他們家是有錢人，每餐都吃山珍海味。)　
山盟海誓,Na,【熟】誓言感情如山的堅定、如海的深沉。多用來表示對愛情的真誠不變。
山線,Na,附錄－地名－火車線站名
山羊,Na,
山脈,Na,
山腰,Nc,【名】半山腰、半山坡。半山處，介於山頂和山腳部分。
山莊,Nc,
山藥,Na,
山谷,Na,【名】山溝。兩山之間低窪且狹窄的地方。
山豬,Na,【名】山豬、野豬。身體呈圓桶狀，皮黑又厚，長滿粗毛，鼻子長又硬，牙齒尖利，是雜食性動物，性情十分兇暴。例：我感覺山豬仔肉較好食。Guá kám-kak suann-ti-á bah khah hó-tsia̍h. (我覺得野豬肉比較好吃。)　
山貓,Na,【名】雲豹、石虎、狸貓。哺乳動物。頭部有黑色條紋，軀幹有黑褐色斑點，尾部有橫紋，性凶猛，捕食鳥、鼠、蛇、蛙等小動物。
山賊,Na,【名】占據山頭建立營寨或出沒山中的盜賊。例：較早有真濟山賊佇遮出入。Khah-tsá ū tsin tsē suann-tsha̍t tī tsia tshut-ji̍p. (以前有很多山賊在這裡出沒。)　
山路,Na,
山里,Nc,附錄－地名－火車線站名
山頂,Nc,【名】山的最高點。
山頭,Nc,1.【名】山頂。
岡山,Nc,附錄－地名－火車線站名
岡山區,Nc,高雄市行政區(附錄－地名－臺灣縣市行政區名)
岩,Na,
岩石,Na,
岫,Na,1.【名】禽獸蟲鳥的巢穴。例：鳥仔岫　tsiáu-á-siū(鳥巢)。
岳,Nb,附錄－百家姓
岳父,Na,
岸,Nc,
岸邊,Nc,
峨眉鄉,Nc,新竹縣行政區(附錄－地名－臺灣縣市行政區名)
峰,Nf,
島,Nc,【名】海中或湖中被水圍繞的小陸地。例：海島　hái-tó、火山島　hué-suann tó。
島嶼,Na,
峻,VH,
峽,Na,
崁,VC,1.【名】覆蓋在器物上的東西。例：桌崁　toh-khàm(桌罩)。
崁頂,Nc,附錄－地名－火車線站名
崁頂鄉,Nc,屏東縣行政區(附錄－地名－臺灣縣市行政區名)
崇,VJ,
崇德,Nc,附錄－地名－火車線站名
崇拜,VJ,【動】敬仰佩服。
崎,b,1.【名】斜坡。例：落崎　lo̍h-kiā(下坡)。
崎頂,Nc,附錄－地名－火車線站名
崔,Nb,附錄－百家姓
崖,Na,
崗,Na,
崙仔,Nc,【名】小山丘、小土坡。
崙背鄉,Nc,雲林縣行政區(附錄－地名－臺灣縣市行政區名)
崩,VH,
崩山,VA,屏東縣枋山(附錄－地名－舊地名)
崩盤,VH,
嵐,Nb,
嶺,Nc,
嶺腳,Nc,附錄－地名－火車線站名
嶼,b,
川,Nc,
川七,Na,【名】蔓生植物。可以入藥，有散血定痛的功效，常和杜仲相配合。嫩葉可以食用，是餐廳常見的野菜佳餚。
川芎,Na,【名】芎藭。草本植物。可入藥，有調經、活血、潤燥、止痛等療效。大多產於四川，所以稱為「川芎」。
州,Nc,1.【名】古代行政區域的名稱。例：漳州　Tsiang-tsiu、泉州　Tsuân-tsiu。
巡,VC,1.【動】往來察看、檢查。例：交考試單仔進前愛巡巡咧。Kau khó-tshì-tuann-á tsìn-tsîng ài sûn-sûn--leh. (交考卷之前要檢查檢查。)；巡水路　sûn tsuí-lōo(農人察看田渠灌溉情形)。
巡查,VC,【名】日治時期巡邏地方的警察。
巡禮,VA,
巡航,VA,
巡視,VC,【動】巡查、巡行。到各處查看。
巡迴,VA,
巡邏,VA,
巢,Na,
工,VH,
工事,Na,【名】工程。源自日語。例：這擺的工事真順利。Tsit pái ê kang-sū tsin sūn-lī. (這次的工程很順利。)　
工人,Na,【名】工人。靠勞力工作，以換取工資的人。
工作,VC,【名】作事、職業。為賺取生活所需的金錢或物質，所從事的腦力或體力的活動。
工具,Na,
工友,Na,
工商,Nc,
工商界,Nc,
工地,Nc,
工場,Nc,1.【名】工廠。把原料製成製造品，或把半成品做成成品的製造場所。工廠裡通常有機器和工人。例：遮的物件緊送去工場予。Tsia--ê mi̍h-kiānn kín sàng khì kang-tiûnn hōo--in. (這些東西趕快送去工廠給他們。)　
工夫,Na,1.【名】中國功夫。即特殊武術、工技。例：這馬練工夫真時行。Tsit-má liān kang-hu tsin sî-kiânn. (現在很流行練功夫。)　
工寮,Nc,【名】為了工作而搭起的簡易棚子，可以當作休息或存放工具等的地方。
工廠,Nc,【名】工場。擁有生產機器及依生產流程分工的工人，並將原料或半成品製成成品的工作場所；通常包括工作、業務和管理等部門 。
工會,Nc,【名】同業工人為維護共同的權益，所聯合組織的團體。
工期,Na,
工業,Na,【名】利用人力、知識、技術、機器等將自然物品加工成新產品的生產事業。
工研院,Nc,
工程,Na,【名】有關製造、建築、開礦、發電、興修水利等，有一定計畫的工作進程。
工程師,Na,【名】主持工事、管理機械的專門技術人員。
工藝,Na,【名】消遣。例：無聊的時陣，就來變工藝。Bô-liâu ê sî-tsūn, tō lâi pìnn kang-gē. (無聊的時候就找些消遣來做。)　
工讀生,Na,
工資,Na,
工錢,Na,
工頭,Na,1.【名】領班。領導及管理工人的為首者。例：阮的工頭看起來猶閣真少年。Guán ê kang-thâu khuànn--khí-lâi iáu-koh tsin siàu-liân. (我們的工頭看起來還很年輕。)　
左,VH,附錄－百家姓
左右,VC,1.【副】上下。大約、差不多。例：這項物件價值一萬箍左右。Tsit hāng mi̍h-kiānn kè-ta̍t tsi̍t-bān khoo tsó-iū. (這個東西價值一萬元左右。)　
左派,Na,
左營,Nc,附錄－地名－高雄捷運紅線站名
左營區,Nc,高雄市行政區(附錄－地名－臺灣縣市行政區名)
巧,VH,
巧合,VH,
巨,VH,
巨蛋,Nc,
巫,Nb,附錄－百家姓
差,VH,
差不多,VH,1.【副】相差不多、有限。例：阮兩个差不多平懸。Guán nn̄g ê tsha-put-to pênn kuân. (我們兩個人差不多一樣高。)　[近]相當
差別,Na,
差異,VH,
差距,VJ,
差錯,Na,【名】失誤、閃失。例：伊若有啥物差錯，我就揣你算數。I nā ū siánn-mih tsha-tshò, guá tō tshuē lí sǹg-siàu. (他如果有什麼閃失，我就找你算帳。)　
差額,Na,【名】相差、或不足標準的數。例：遮的差額是我算毋著的。Tsia-ê tsha-gia̍h sī guá sǹg m̄-tio̍h--ê. (這些不足的款項是我算錯的。)　
己,Nh,
已,VH,
已經,D,
巳,Nd,
巴,VC,附錄－百家姓
巴結,VC,1.【動】拍馬屁、奉承別人。例：伊真𠢕巴結頭家，真顧人怨。I tsin gâu pa-kiat thâu-ke, tsin kòo-lâng-uàn. (他很會向老闆拍馬屁，看來很令人討厭。)　[近]扶
巴陵,Nc,附錄－地名－山脈名
巷,Na,【名】大街旁的小通道。
巾,Na,【名】可擦拭、披用、包蓋的方型或長方型的布，都可以說是巾。例：面巾　bīn-kin(毛巾)、手巾仔　tshiú-kin-á(手帕)。
市,Nc,1.【名】進行買賣、交易的地方。例：菜市仔　tshài-tshī-á(菜市場)。
市價,Na,【名】貨品在市場的通行價格。例：烏骨雞的市價比肉雞仔較好。Oo-kut-ke ê tshī-kè pí bah-ke-á khah hó. (烏骨雞的市價比肉雞好。)　
市區,Nc,
市場,Nc,1.【名】買賣貨物的場所。例：我欲來去市場買一塊豬肝。Guá beh lâi-khì tshī-tiûnn bé tsi̍t tè ti-kuann. (我要到市埸買一塊豬肝。)　[近]市草、市面、菜市
市容,Na,【名】都市呈現出來的景觀、面貌。
市政,Na,
市政府,Nc,附錄－地名－臺北捷運南港線站名
市民,Na,【名】城市中的居民。
市議會,Nc,附錄－地名－高雄捷運橘線站名
市郊,Nc,
市鎮,Na,
市長,Na,【名】治理一市的行政首長。
市面,Nc,
布,VC,【名】棉麻或絲綢織品的總稱。例：絨仔布　jiông-á-pòo(絨布)。
布料,Na,【名】棉、麻、苧、葛、毛、綢緞等裁製衣物的材料。
布施,VC,
布景,Na,【名】為了配合演出或加強戲劇效果，在舞臺上所裝飾的景物。
布棚,Na,1.【名】帳篷。用帆布或塑膠布及支架製成的露營用具。
布袋,Nc,1.【名】用棉布製成的袋子。例：飼鳥鼠咬布袋。Tshī niáu-tshí kā pòo-tē. (養癰遺患。)　
布袋戲,Na,【名】掌中戲、布袋戲。是盛行於中國的閩南一帶及臺灣的木偶戲之一，因為木偶的身形如同布袋，又以手掌和五指操弄，所以又稱「掌中戲」。
布袋鎮,Nc,嘉義縣行政區(附錄－地名－臺灣縣市行政區名)
布鞋,Na,【名】以布料為材質所做的鞋子。
布頭,Na,【名】布料剪裁之後剩下的零碎布塊。
帆,Na,1.【名】掛在船桅上，藉由風力使船前進的布幔。例：出帆　tshut-phâng、起帆　khí phâng。
帆布,Na,【名】用棉、麻製成的粗布，堅固耐用，可做船帆、帳篷等。
帆船,Na,【名】張掛船帆，憑藉風力行駛的船。
希,VK,
希望,VK,期望、寄望。見【向望】ǹg-bāng 條。
帕,b,1.【名】布巾。例：尿帕仔　jiō-phè-á(尿布)、花帕　hue-phè(花布巾)。
帖,Nf,1.【名】請柬。例：紅帖　âng-thiap、白帖　pe̍h-thiap。
帙,Na,
帛,Na,
帝,Na,1.【名】指君權時代的國家領導者。例：帝王　tè-ông。
帝國,Na,
帝王,Na,
帥,VH,
師,VC,【名】指具有專門技術，而能傳承技藝、教導學生的人。例：醫師　i-su、工程師　kang-tîng-su。
師傅,Na,【名】稱懷有專門技藝的人。
師兄,Na,【名】稱呼在同一個領域學習而時間在前的人。
師姑,Na,【名】女道士、比丘尼。
師母,Na,【名】師娘。稱呼自己老師的妻子。
師父,Na,1.【名】對老師的尊稱。
師生,Na,
師資,Na,【名】指可以當教師的人才。
師長,Na,
席,Nf,1.【名】座位。例：出席　tshut-si̍k、退席　thè-si̍k。
席次,Na,
帳,Na,
帶,VC,1.【動】攜、拿。例：帶便當　tuà piān-tong。[近]紮
帶來,VC,
帶動,VC,
帶狀,Na,
帶病,D,【動】患病。例：伊有帶病，面色才會遐歹看。I ū tài-pēnn, bīn-sik tsiah ē hiah pháinn-khuànn. (他患病，臉色才會那麼難看。)　
帶衰,VH,【動】連累別人跟著倒楣。例：伊是來帶衰的，逐擺來就無好代誌。I sī lâi tài-sue--ê, ta̍k pái lâi tō bô hó tāi-tsì. (他真是帶晦氣，每次來準沒好事。)　
帶領,VF,【動】引導、率領。
常,VH,附錄－百家姓
常務,A,
常常,D,【副】經常、次數頻繁。
常用,VH,
常識,Na,
帽,Na,【名】戴在頭上以裝飾或保護頭部的東西。例：帽仔　bō-á(帽子)。
幅,Nf,
幅度,Na,
幌,b,【動】搖擺、晃動。例：幌頭　hàinn-thâu(搖頭)、幌索仔　hàinn soh-á(盪繩子)、幌韆鞦　hàinn-tshian-tshiu(盪鞦韆)。
幔,b,1.【名】如披風般寬大的衣服。例：雨幔　hōo-mua(雨衣)、風幔　hong-mua(披風)。
幕,Nf,1.【名】垂掛的簾幔。例：開幕　khai-bōo(拉開簾幕、開張)、閉幕　pì-bōo。
幕僚,Na,
幕後,Nc,
幡,Na,【名】形狀狹長而下垂的旗幟，多用於喪事之中。例：引魂幡　ín-hûn huan。
幢,Nf,
幣,Na,
幫,VC,1.【動】分租。例：幫店面　png tiàm-bīn(分租店面)。
幫助,VE,【動】為別人出力、出主意，給予物質上、精神上的支援。例：逐家互相幫助莫計較。Ta̍k-ke hōo-siong pang-tsōo mài kè-kàu. (大家互相幫忙不要計較。)　
幫忙,VC,【動】幫助他人做事或解決困難。
幫派,Na,
干,VJ,1.【名】古代的防禦兵器，即盾牌。例：干戈　kan ko(盾和矛，原指兵器，後多引申為戰爭。)　
干休,VH,【副】停止、罷休。例：我無欲放伊干休。Guá bô beh pàng i kan-hiu. (我不會放過他。)　
干擾,VC,
干涉,VC,【動】插手管別人的事情。例：我真討厭別人干涉我的代誌。Guá tsin thó-ià pa̍t-lâng kan-sia̍p guá ê tāi-tsì. (我很討厭別人干預我的事。)　
干貝,Na,【名】蚌類扇貝上的肉經乾燥製成的食品。
平,VJ,【熟】公平。例：路見不平　lōo kiàn put pîng。
平交道,Nc,
平仄,Na,【名】古漢語的聲調類型，平聲指陰平、陽平調，仄聲指上聲、去聲及入聲。
平信,Na,
平凡,VH,
平分,VC,【動】平均分配。例：春分，暝日平分。Tshun-hun, mê ji̍t pênn-pun. (在春分節氣的這一天，白天和黑夜一樣長。)　
平原,Na,
平反,VHC,
平台,Na,
平和,VH,
平地,Na,【名】平坦的土地。
平均,VHC,1.【動】把不同份量的事物加總之後，再予以平分。例：平均落來，一个人會當分著三千箍。Pîng-kin--lo̍h-lâi, tsi̍t ê lâng ē-tàng pun tio̍h sann-tshing khoo. (平均下來，每個人可以分到三千塊錢。)　
平坦,VH,
平埔,Nb,【名】平地、平野、平坦而空曠的原野。例：平埔族　Pênn-poo-tso̍k(居住在臺灣平原地區的原住民)。
平安,VH,【形】平穩、安定。例：咱做人求平安就好，毋通痟貪。Lán tsò-lâng kiû pîng-an tō hó, m̄-thang siáu-tham. (我們做人求平安就好，別貪小便宜。)　
平常,VH,1.【名】平時，一般日子。例：今仔日的天氣佮平常無仝款。Kin-á-ji̍t ê thinn-khì kah pîng-siông bô kāng-khuán. (今天的天氣跟平時不一樣。)　
平平,VH,1.【副】相同、同樣是。例：平平是人，生活哪會差遐濟？Pênn-pênn sī lâng, sing-ua̍h ná ē tsha hiah tsē? (一樣都是人，生活怎麼會差那麼多？)　
平手,VH,
平方,Na,
平日,Nd,
平時,Nd,
平民,Na,
平溪,Nc,附錄－地名－火車線站名
平溪線,Nc,附錄－地名－火車線站名
平直,VH,
平穩,VH,
平等,VH,【形】彼此地位相等、機會一樣。例：法律之前，人人平等。Huat-lu̍t tsi tsiân, lâng-lâng pîng-tíng. 　
平行,VH,
平衡,VHC,
平階,A,【名】平房。例：經濟變好了後，誠濟平階攏拆掉換起樓仔厝。King-tsè piàn hó liáu-āu, tsiânn tsē pênn-kai lóng thiah-tiāu uānn khí lâu-á-tshù.(經濟好轉之後，很多平房都拆掉改建樓房。)　
平靜,VH,【形】形容平和安靜。
平面,Na,
平順,VH,【形】平穩順暢，沒有波折。
年,Nf,附錄－百家姓
年代,Nd,
年份,Na,
年初,Nd,
年尾,Nd,【時】年終、歲未。
年底,Nd,【時】年尾、年終。一年的最後期間。例：年底欲到矣，咱愛閣準備過年矣。Nî-té beh kàu--ah, lán ài koh tsún-pī kuè-nî--ah. (年終將至，我們又要準備過年了。)　
年度,Nd,【時】為處理事務方便而規定的，有一定起訖日期的十二個月。例：會計年度　kuè-kè nî-tōo。
年會,Nc,
年歲,Na,【名】年齡、年紀。例：伊的年歲較大，所以記持有較䆀啦！I ê nî-huè khah tuā, sóo-í kì-tî ū khah bái--lah! (他的年紀比較大，所以記性差一點啦！)　
年節,Nd,1.【名】逢年過節。例：年節的民俗　nî-tseh ê bîn-sio̍k。
年紀,Na,【名】年齡。
年級,Na,
年終,Nd,
年老,VH,
年薪,Na,
年費,Na,
年資,Na,
年金,Na,
年鑑,Na,
年關,Nd,【時】指舊曆年底。舊俗在舊曆年底要清償所有的帳款，不能再拖欠，讓欠債者覺得好像遭逢關卡一樣，所以稱為「年關」。
年限,Na,【名】限定的年數。
年頭,Nd,【時】一年的開始。例：新正年頭　sin-tsiann-nî-thâu(新年剛開始的階段)。
年齡,Na,
幸,VH,【名】福分。例：三生有幸　sam-sing-iú-hīng。
幸福,VH,【形】形容凡事順利，生活圓滿的樣子。例：日子過甲誠幸福。Ji̍t-tsí kuè kah tsiânn hīng-hok. (生活過得很幸福。)　
幸運,VH,【名】好運氣。
幹,VG,1.【名】人、事、物的主要部分。例：幹道　kàn-tō(主要道路)、總幹事　tsóng-kàn-sū。
幹事,Na,【名】辦事人員的稱呼。例：里幹事　lí kàn-sū。
幹部,Na,
幻,VH,
幻想,VE,
幻滅,VH,
幼,VC,1.【形】皮膚細嫩的樣子。例：面肉幼　bīn-bah iù(臉部皮膚細嫩)。
幼兒,Na,
幼教,Na,
幼稚,VH,
幼稚園,Nc,【名】幼兒園。招收四歲到七歲尚未上小學的幼童，訓練他們養成良好的生活習慣和基本能力的教育機構。
幼齒,Na,1.【名】幼小、剛長出來的乳牙。
幽,VH,
幽雅,VH,【形】清靜雅致。例：恁兜佈置了真幽雅。Lín tau pòo-tì liáu tsin iu-ngá. (府上佈置得真是幽雅。)　
幾,Neu,
幾何,Neqa,
庄,Nc,【名】田家村莊。例：田庄　tshân-tsng(鄉村)、庄跤　tsng-kha(鄉下)。
庄頭,Nc,【名】泛指村落。例：這个庄頭的人攏真熱情。Tsit ê tsng-thâu ê lâng lóng tsin jia̍t-tsîng. (這個村落的人都很熱情。)　
庇,VC,
庇佑,VC,【動】保佑。例：求神明庇佑咱全家平安。Kiû sîn-bîng pì-iū lán tsuân ke pîng-an. (祈求神明保佑我們全家平安。)　
床,Nf,
床母,Na,【名】臺灣民俗中的床神，可以保佑嬰幼兒平安長大的神祇。人身上的胎記被認為是床母做的記號。
床鋪,Na,
床頭,Nc,
序,Na,
序幕,Na,
底,Ng,【代】何。用在何時、何事。例：你欲等到底時？Lí beh tán kàu tī-sî? (你要等到何時？)；佮你有啥底代？Kah lí ū siánn tī-tāi? (關你什麼事？)　
底價,Na,
底片,Na,【名】照相時用的膠片。
底盤,Na,
底細,Na,【名】人或事的根源、內情、背景。
底線,Na,
底薪,Na,
底部,Ncd,
店,Nc,【名】販售各類商品的店舖。例：冊店　tsheh-tiàm(書店)。
店主,Na,【名】店東、老闆。
店仔,Na,【名】小店。例：你去店仔買一包鹽。Lí khì tiàm-á bé tsi̍t pau iâm. (你去雜貨店買一包鹽。)　
店仔口,Nc,臺南市白河(附錄－地名－舊地名)
店口,Nc,
店員,Na,【名】伙計、夥計。商店所雇請的員工，負責招呼客人、進行交易。例：彼个店員真無禮貌。Hit ê tiàm-uân tsin bô-lé-māu. (那個店員很沒有禮貌。)　
店號,Na,【名】店名。商店的名稱。
店長,Na,
店面,Na,1.【名】商店的門面。例：臭柑排店面。Tshàu kam pâi tiàm-bīn. (腐壞的橘子卻排放在商店的門面上。有嘲諷醜婦喜出頭的意味。)　
店頭,Nc,【名】商店、店面。例：恁莫佇人的店頭冤家啦！Lín mài tī lâng ê tiàm-thâu uan-ke--lah! (你們不要在別人的店面吵架啦！)　
店頭家,Na,【名】店主、店東、老闆。
庚,Neu,1.【名】天干的第七位。
府,Nc,1.【名】處理國家事務的機關或者官員辦公的地方。例：官府　kuann-hú。
府中,Nc,附錄－地名－臺北捷運板橋線站名
府城,Nc,1.【名】古時候比縣高一級的地方政府所在地。
度,VCL,
度小月,Nc,1.【熟】指度過較不景氣的時機。
度數,Na,
度過,VCL,
度量,VC,【名】氣量。人能包容寬諒別人的程度。例：伊的度量不止仔闊，事事項項攏袂計較。I ê tōo-liōng put-tsí-á khuah, sū-sū-hāng-hāng lóng bē kè-kàu. (他的度量滿大的，任何事情都不計較。)　
座,VCL,1.【量】用在大型物體或建築物等的計算單位。例：一座山　tsi̍t tsō suann、一座城　tsi̍t tsō siânn。
座談,VA,
庫,Na,【名】泛指貯藏物品的地方。例：金庫　kim-khòo。
庫存,VC,
庫房,Nc,【名】貯藏重要物品的房屋。
庫銀,Na,【名】國庫的錢。
庭,Nf,
庵,Nc,
康,VH,附錄－百家姓
康健,VH,【形】健康。身體安好強健無病痛。例：老康健　lāu khong-kiān(年紀大身體還很健康)。
康樂,Na,附錄－地名－火車線站名
庸,D,
廁,Nc,
廂,Na,
廉,VH,
廊,Na,
廖,Nb,附錄－百家姓
廚,Nc,
廚子,Nb,【名】廚師。掌理廚房烹飪事務，並以此為職業的人。例：阿三仔是咧做廚子的。In A-sam--á sī teh tsò tôo-tsí--ê. (他們阿三是廚師。)　
廚房,Nc,【名】在屋內專供烹調食物的地方。
廟,Na,【名】祭祀神明的建築。例：天公廟　Thinn-kong-biō、媽祖廟　Má-tsóo-biō。
廟公,Na,【名】廟祝。主管廟內香火事務的人。
廟口,Nc,
廟埕,Nc,【名】廟宇前面的大廣場。例：下暗廟埕欲搬戲。E-àm biō-tiânn beh puann-hì. (晚上廟前的大廣場有戲上演。)　
廟寺,Na,【名】寺廟、寺院。佛寺的通稱。
廟會,Na,
廟祝,Na,
廠,Nc,【名】製造商品或修理器物的場所。例：糖廠　thn̂g-tshiúnn。
廠商,Na,
廠房,Nc,
廠牌,Na,
廠長,Na,
廢,VC,1.【動】不採用、捨棄、取消。例：廢除　huì-tû、荒廢　hng-huì、廢止　huì-tsí。
廢棄,VC,
廢棄物,Na,
廢止,VC,【動】廢棄不用。
廢氣,Na,
廢水,Na,
廢物,Na,【名】沒有利用價值的物品，後來也被用來當作罵人語。
廢話,VA,【名】沒有意義的話。
廢除,VC,
廣,VH,
廣告,VC,【名】一種宣傳的方式。以文字、圖片或影片介紹商品，藉由報章雜誌的登載，電視和收音機的傳播或印成傳單小冊散發，以吸引顧客，達到促銷目的。
廣大,VH,
廣播,VE,
廣播劇,Na,【名】專供在無線電中廣播的戲劇。特別著重音樂配合和音響效果等藝術方式，以創造聽覺形象，展開劇情。
廣泛,VH,
廣義,Na,
廣電,Na,
廬山,Nc,附錄－地名－山脈名
廳,Nc,
廳堂,Nc,【名】大廳。房屋的正堂大廳。
廳頭,Nc,【名】大廳的正面，放祖先、神主牌的地方。
延,VC,
延伸,VH,
延平鄉,Nc,臺東縣行政區(附錄－地名－臺灣縣市行政區名)
延後,VC,
延期,VB,
延燒,VC,
延續,VJ,
延誤,VHC,
延遲,VHC,【動】延後、耽誤。
延長,VC,
建,VE,
建商,Na,
建材,Na,
建材行,Nc,【名】販賣或從事與水泥、鋼筋、木材、磚、玻璃等建築原料相關的商行。
建構,VC,
建照,Na,
建物,Na,
建立,VC,【動】建設成立。
建築,VC,1.【名】定著於土地上或地面下具有頂蓋、梁柱或牆壁，供個人或公眾使用的構造物。
建置,VC,1.【動】建立、設置。通常指家庭。例：建置家後　kiàn-tì ke-āu(指建立一個家庭，也指娶妻。)　
建言,VE,
建設,VC,1.【動】創建事業或增添設施。
建議,VE,1.【動】提出意見供別人參考。例：我建議你去買彼間厝。Guá kiàn-gī lí khì bé hit king tshù. (我建議你去買那間房子。)　
建造,VC,
廿,Neu,【數】數字，指二十，是二十的合音。例：廿幾歲當少年。Jia̍p kuí huè tng siàu-liân. (二十來歲正當年輕。)　
廿一,Neu,【數】二十一。例：廿一世紀　jia̍p-it sè-kí(二十一世紀)。
弄,VK,
弊,VH,
弊案,Na,
弊端,Na,
式,Nf,
弓,VC,
弔,VC,
引,VL,1.【動】導領。例：引導　ín-tō。
引入,VC,
引渡,VC,【動】他國罪犯居留在本國境內時，本國政府配合將罪犯送回該國，以接受追訴或懲處。但國際法中，原則上不引渡政治犯。源自日語。
引用,VC,
引發,VC,
引薦,VC,
引言,Na,
引誘,VC,【動】誘導、勾引。例：引誘賊仔出來。Ín-iú tsha̍t-á tshut--lâi. (引誘小偷出來。)　
引起,VC,【動】引發、發動。
引述,VC,
引進,VC,
引領,VC,
弘,VC,
弘法,VB,
弟,Na,【名】稱謂。稱呼比自己晚出生的男子。例：小弟　sió-tī。
弟子,Na,1.【名】學生、門徒。
弦,Na,
弦樂,Na,
弧,Nf,
弱,VH,【形】體力或能力差。與強相對。例：對手誠弱。Tuì-tshiú tsiânn jio̍k. (對手很弱。)　
弱勢,VH,
弱者,Na,
弱點,Na,
張,VC,附錄－百家姓
強,VH,
強制,VF,1.【動】用強力制服。
強力,VH,
強劫,VH,
強勢,VH,
強化,VHC,
強壯,VH,【形】健壯有力。
強大,VH,
強姦,VC,
強度,Na,
強弱,Na,
強強,VH,【副】幾乎。例：我腹肚疼甲強強欲昏去。Guá pak-tóo thiànn kah kiōng-kiōng beh hūn--khì. (我肚子痛得幾乎要昏了過去。)　[近]差不多
強搶,VC,【動】以強力奪取。
強權,Na,
強求,VC,
強烈,VH,
強盜,Na,【名】用暴力搶奪他人財物的賊匪。例：伊的性地橫霸霸，袂輸強盜咧。I ê sìng-tē huâinn-pà-pà, bē-su kiông-tō--leh. (他的個性很蠻橫，好像強盜。)　
強硬,VH,【形】態度堅決，不肯退讓。
強調,VE,
強辯,VE,【動】無理硬說成有理的。
強迫,VF,
強逼,VF,
彈,VC,
彈奏,VC,
彈琴,VA,【動】用手指撥弄琴弦、鍵盤，發出樂音。
彌,Dfa,
彌補,VC,【動】補足、補償。
彎,VH,1.【形】不直的、彎曲的。例：九彎十八斡　káu uan tsa̍p-peh uat(九彎十八轉。指北宜公路一處著名的多彎路段。)　
彎彎曲曲,VH,
彎曲,VH,1.【形】不直。例：駛車欲行彼條彎曲的路，你著細膩！Sái-tshia beh kiânn hit tiâu uan-khiau ê lōo, lí tio̍h sè-jī! (開車要走那條彎曲的路，你要小心！)　
形,VK,【名】樣子、模樣、形狀。例：看伊彼款形，真無妥當。Khuànn i hit khuán hîng, tsin bô thò-tòng. (看他那種樣子，真不可靠。)；地形　tē-hîng、情形　tsîng-hîng。
形勢,Na,【名】情勢、情形。
形容,VE,【動】對事物的形象或性質加以描述。
形式,Na,1.【名】事物的形狀或結構。
形影,Na,【名】行蹤。
形態,Na,
形成,VG,
形狀,Na,【名】外形、模樣。
形象,Na,
彩,Na,
彩券,Na,
彩妝,VB,
彩繪,VC,
彩色,Na,【形】多種顏色。例：這馬的電視攏是彩色的。Tsit-má ê tiān-sī lóng sī tshái-sik--ê. (現在的電視都是彩色的。)　
彩頭,Na,【名】預兆、兆頭。例：人講拜菜頭是欲求一个好彩頭。Lâng kóng pài tshài-thâu sī beh kiû tsi̍t ê hó tshái-thâu. (人家說拜蘿蔔是為了討個好兆頭。)　
