2	一	壹	第7級	it	壹	【替】tsi̍t			1.【數】數字。	2.【形】極、最、第一的。例：一流　it-liû。	3.【形】相同的。例：兩个生做一模一樣。In nn̄g ê senn-tsò it-bôo-it-iūnn. (他們兩個長得一模一樣。)　	4.【副】整個地、全部地。例：一生　it-sing、一向　it hiòng。																						
1987	目睫毛	睫毛	第7級	ba̍k-tsiah-mn̂g			目睭毛		【名】眼睫毛。長在眼皮邊上的毛。例：伊的目睫毛真長。I ê ba̍k-tsiah-mn̂g tsin tn̂g. (她的睫毛很長。)　																									
1988	目睭毛	睫毛	第7級	ba̍k-tsiu-mn̂g			目睫毛		【名】睫毛。例：伊目睭毛長閣翹，有夠媠。I ba̍k-tsiu-mn̂g tn̂g koh khiàu, ū kàu suí. (他的睫毛長又翹，很漂亮。)　																									
1990	石碑	石碑	第6級	tsio̍h-pi					【名】上面刻有文字或圖案的石塊，可供紀念或作為標誌用。																									
1992	犯罪	犯罪	第4*級	huān-tsuē			犯法		【動】觸犯法律。																									
1995	生話	造謠	第7級	senn-uē/sinn-uē			造話		【動】造謠。捏造不實的說辭。例：你毋通烏白生話。Lí m̄-thang oo-pe̍h senn-uē. (你不要胡亂造謠。)　																									
1997	白賊	謊話	第5級	pe̍h-tsha̍t			白賊話、講白賊、講嘐潲話		【名】謊話。例：伊真𠢕講白賊。I tsin gâu kóng-pe̍h-tsha̍t. (他很會說謊。)　															說謊	白賊　pe̍h-tsha̍t	白賊　pē-tsha̍t	白賊　pe̍h-tsha̍t	白賊　pe̍h-tsha̍t	白賊　pe̍h-tsha̍t	白賊　pe̍h-tsha̍t	白賊　pe̍h-tsha̍t, 呺六　hau-la̍k	白賊　pe̍h-tsha̍t 	白賊　pe̍h-tsha̍t 	講白賊　kóng-pe̍h-tsha̍t 
1998	白賊七仔	說謊	第5級	pe̍h-tsha̍t-tshit--á					【名】民間故事裡擅長用謊言騙人的人物，現在多用來指說謊的人。																									
1999	白賊話	謊話	第5級	pe̍h-tsha̍t-uē			白賊、嘐潲	老實話、實在話	【名】謊話。例：伊真𠢕講白賊話，你予伊騙去矣。I tsin gâu kóng pe̍h-tsha̍t-uē, lí hōo i phiàn--khì--ah. (他很會說謊話，你被他騙了。)　																									
2001	生路	活路	第7級	senn-lōo/sinn-lōo			活路	死路	【名】可逃生、活命的路徑或方法。例：我求你放我一條生路。Guá kiû lí pàng guá tsi̍t tiâu senn-lōo. 　																									
2003	田僑仔	地主	第6級	tshân-kiâu-á			地主	田佃、佃農	【名】擁有許多田地，靠地價暴漲而致富的土財主。																									
2005	白滾水	開水	第4*級	pe̍h-kún-tsuí			滾水、白茶		【名】不添加其他物而且經過煮沸的開水。																									
2006	目箍	眼眶	第6級	ba̍k-khoo			目墘		【名】眼眶。例：目箍紅紅　ba̍k-khoo âng-âng(眼眶紅紅的)。																									
2008	目標	標準	第3*級	bo̍k-piau			標準		【名】工作或計畫中擬訂要達到的標準。例：咱這月日的生產目標愛比頂月日的生產量增加一倍。Lán tsit gue̍h-ji̍t ê sing-sán bo̍k-piau ài pí tíng gue̍h-ji̍t ê sing-sán-liōng tsing-ka tsi̍t puē. (我們這個月的生產標準要比上個月的數量加倍。)　																									
2013	皮膚	皮膚	第4級	phuê-hu/phê-hu					【名】覆蓋在身體外部的皮膜。具有保護、排泄和調節體溫等功用。例：皮膚幼　phuê-hu iù(皮膚細嫩)。																									
2014	甘蔗	甘蔗	第7級	kam-tsià					【名】禾本科植物。外形像竹子一樣直立，莖實心有節，含有多量的甘甜水分，為製糖原料，可以生食。																									
2016	白蔥蔥	蒼白	第5級	pe̍h-tshang-tshang					【形】形容非常潔白。例：彼个老大人喙鬚白蔥蔥。Hit ê lāu-tuā-lâng tshuì-tshiu pe̍h-tshang-tshang. (那個老人鬍鬚白白的。)　																									
2017	申請	請求	第5級	sin-tshíng			請求		1.【動】向上級或相關單位說明理由，提出請求。例：成績無夠，袂當申請獎學金。Sîng-tsik bô-kàu, bē-tàng sin-tshíng tsióng-ha̍k-kim. (成績不夠，不能申請獎學金。)　	2.【名】人民對政府或下級對上級的請求事項。例：你的申請猶閣咧審查當中。Lí ê sin-tshíng iáu-koh teh sím-tsa tang-tiong. (你的申請還在審查當中。)　																								
2019	皮鞋	皮鞋	第3級	phuê-ê/phê-uê					【名】皮革製成的鞋子。																									
2020	石磨	石磨	第7級	tsio̍h-bō			石磨仔、磨仔		【名】用來磨米漿的工具。石磨分成兩部分，中間是空的，操作時，下面的磨盤固定不動，上面的磨盤則是做水平的轉動，從上磨盤中間的孔，將米粒放入固定的磨盤內，經過不斷地磨動，即可將米磨成漿。																									
2023	目錄	目錄	第6級	bo̍k-lo̍k					1.【名】書前所載的目次，以備檢閱主要內容之用。	2.【名】編列物品類別、名稱、數量的文件。																								
2024	目頭	眉頭	第5級	ba̍k-thâu					【名】眉頭。兩眉毛之間。例：我看伊逐工目頭結結，心肝嘛真艱苦。Guá khuànn i ta̍k kang ba̍k-thâu kat-kat, sim-kuann mā tsin kan-khóo. (我看他每天眉頭深鎖，心裡也很難過。)　																									
2034	目鏡	眼鏡	第2*級	ba̍k-kiànn					【名】眼鏡。																									
2037	甘願	滿足	第4級	kam-guān			甘心、情願	毋甘願、毋情願、毋願	【副】寧願、情願。自己願意，沒有半點勉強。例：囡仔若有出脫，我閣較艱苦嘛甘願。Gín-á nā ū tshut-thuat, guá koh khah kan-khóo mā kam-guān. (孩子若有出息，我再辛苦也願意。)　																									
2045	生驚	驚嚇	第6級	tshenn-kiann/tshinn-kiann	青驚				【名】驚嚇。例：囡仔著生驚嘛嘛吼。Gín-á tio̍h-tshenn-kiann mà-mà-háu. (小孩受到驚嚇哇哇大哭。)　																									
2046	立體	立體	第6級	li̍p-thé					【名】數學上指以長、寬、高三個面，在空間中組合成一個占有一定位置的物體，稱為「立體」。																									
2048	交	交	第2*級	【替】ka	加	kau、【替】kiau			動詞前綴。置於某些特定動詞之前形成完整的詞。可能為語言底層的殘留，所以一般用字不固定，有一些已與其他漢字組成固定詞彙。例：交懍恂　ka-lún-sún(打寒噤)、交落　ka-la̍uh(東西掉落或不見)。																									
2049	交	交	第2*級	kau		【替】ka、【替】kiau			1.【動】繳、給、付、託。例：物件交予你。Mi̍h-kiānn kau hōo--lí. (東西交給你。)；交錢　kau tsînn(繳錢)、交換　kau-uānn、交代　kau-tài。	2.【動】人與人之間的往來互動。例：交陪　kau-puê(人之間的往來)、交女朋友　kau lú-pîng-iú。	3.【動】買賣。例：共伊交關　kā i kau-kuan(向他買東西)、交易　kau-i̍k。	4.【名】時間、地點、狀態之間相會的地方。例：春夏之交　tshun hā tsi kau、交界　kau kài。	5.【副】雜和、一齊、同時。例：風雨交加　hong-ú kau ka。																					
2052	亦	也	第1級	i̍k					【連】也。例：伊佮我的關係是亦師亦友。I kah guá ê kuan-hē sī i̍k su i̍k iú. (他跟我的關係是老師也是朋友。)　																									
2053	件	件	第1*級	kiānn					【量】計算事物的單位。例：一件行李　tsi̍t kiānn hîng-lí、兩件代誌　nn̄g kiānn tāi-tsì(兩件事情)。																									
2055	份	份	第2級	hūn	分				1.【量】計算定量事物的單位。例：分做兩份。Hun tsò nn̄g hūn. (分成兩份。)；三份一。Sann-hūn-tsi̍t. (三分之一。)　	2.【名】整體中的一個單位。例：股份　kóo-hūn。	3.【名】人與人之間的分際。例：本份　pún-hūn、身份　sin-hūn、緣份　iân-hūn。	4.【動】參與、加入。用在商業活動中。例：份生理　hūn sing-lí(入股做生意)。																						
2057	伊	他	第1級	i					【代】他、她、牠、它。第三人稱的單數代名詞。例：伊是啥人？I sī siánn-lâng? (他是誰？)；講予伊知。Kóng hōo i tsai. (告訴他讓他知道。)　																									
2059	休	休	第6級	hiu					1.【動】歇息。例：休息　hiu-sik、休假　hiu-ká。	2.【動】停歇、終止、解除。例：休學　hiu-ha̍k、休妻　hiu tshe、命險仔休去　miā hiám-á hiu--khì(命差點沒了)。																								
2062	先	前	第1級	【文】sian		【白】sing、【白】sin			1.【形】首、第一。例：人民為先　jîn-bîn uî sian。	2.【時】前。時間或次序上比較前面。例：事先　sū-sian。[反]後	3.【形】對已經過世者的尊稱。例：先夫　sian hu、先人　sian-jîn。																							
2063	先	前	第1級	【白】sing		【文】sian、【白】sin		後	1.【時】前。指時間上比較早的。例：頭起先　thâu-khí-sing(起先)。	2.【副】次序上比較前的。例：伊先會失禮我就原諒伊。I sing huē-sit-lé guá tō guân-liōng--i. (他先道歉我就原諒他。)　																								
2064	光	亮	第4級	【白】kng		【文】kong			1.【名】視覺所能接受的一種波，給人亮的感覺。例：光線　kng-suànn、月光　gue̍h-kng。	2.【動】變亮。例：天光矣。Thinn-kng--ah. (天亮了。)　	3.【形】明亮、發亮的樣子。例：外口較光。Guā-kháu khah kng. (外面比較亮。)　	4.【形】無遮掩。例：褪光光　thǹg kng-kng(一絲不掛)、光碼　kng-bé(明碼)。	5.【動】通曉、明白。例：行情伊誠光。Hâng-tsîng i tsiânn kng. (行情他很清楚。)　	6.【形】平滑。例：光面　kng-bīn(光滑的相片，相對於布面)；玉仔磨甲真光。　Gi̍k-á buâ kah tsin kng. (玉磨得很光亮。)　										光	kng	kng	kng	kuinn	kng	kng	kng	kng	kng	kng
2065	光	光	第3*級	【文】kong		【白】kng			1.【名】視覺所能接受的一種波，給人亮的感覺。例：日光　ji̍t-kong、電光　tiān-kong(Ｘ光)。	2.【形】閃亮耀眼，多用在抽象的感覺。例：光榮　kong-îng、光彩　kong-tshái、光明　kong-bîng。																								
2067	交代	囑咐	第6級	kau-tài					1.【動】囑咐、吩咐。例：阿爸交代伊愛用功。A-pah kau-tài i ài iōng-kong. (爸爸叮嚀他要用功讀書。)　	2.【動】遞交、移交。例：這件公文就交代予你矣。Tsit kiānn kong-bûn tō kau-tài hōo--lí--ah. (這件公文就移交給你了。)　	3.【動】解釋、說明。例：你今仔日下晡去佗愛交代清楚。Lí kin-á-ji̍t ē-poo khì toh ài kau-tài tshing-tshó. (你今天下午到哪去要說明清楚。)　																							
2071	先生媽	巫婆	第7級	sian-sinn-má	先生嬤				1.【名】太師母。稱呼醫生或老師的母親。例：阮先生媽這馬猶閣真健康。Guán sian-sinn-má tsit-má iáu-koh tsin kiān-khong. (我們太師母現在仍然很健康。)　	2.【名】巫婆。稱呼道教中從事各種儀式、代人祈禱、求鬼神賜福、解決問題的女性。	3.【名】女醫師。													女醫生	先生媽　sian-sinn-má	先生媽　sian-sinn-má	先生媽　sian-sinn-má	先生媽　sin-senn-má	先生媽　sian-senn-má	先生媽　sian-senn-má	先生媽　sian-sinn-má	先生媽　sian-sinn-má	先生媽　sian-sinn-má	先生媽　sin-senn-má
2072	兇狂	慌張	第6級	hiong-kông	凶狂		生狂		【形】慌張。例：看你遮爾兇狂，是發生啥物代誌？Khuànn lí tsiah-nī hiong-kông, sī huat-sing siánn-mih tāi-tsì? (看你這麼慌張，是發生什麼事情嗎？)　																									
2074	交易	交易	第5級	kau-i̍k					【名】買賣、生意。例：這筆交易的利純誠懸。Tsit pit kau-i̍k ê lī-sûn tsiânn kuân. (這筆交易的利潤很高。)　																									
2075	交易	交易	第5級	ka-ia̍h					【形】指生意興隆的樣子。例：這間店的生理真交易。Tsit king tiàm ê sing-lí tsin ka-ia̍h. (這間店的生意很興隆。)　																									
2076	光明	光明	第5級	kong-bîng				烏暗、暗淡	【名】比喻希望。例：光明的前途　kong-bîng ê tsiân-tôo(前途有希望)。																									
2078	交流	交流	第4*級	kau-liû					【動】相互往來，彼此影響。																									
2079	伙食	伙食	第7級	hué-si̍t/hé-si̍t					【名】團體的飲食、飯菜。例：病院有提供伙食予病人食。Pēnn-īnn ū thê-kiong hué-si̍t hōo pēnn-lâng tsia̍h. (醫院有提供飯菜給病人吃。)　																									
2081	休息	歇息	第7級	hiu-sik			停睏、歇、歇睏		【動】暫停工作以解除疲勞恢復體力。																									
2082	交涉	交涉	第6級	kau-sia̍p					【動】相互協商，討論彼此間有關的事務。例：你去交涉看覓。Lí khì kau-sia̍p khuànn-māi. (你去交涉看看。)　																									
2083	交情	情誼	第6級	kau-tsîng					【名】人與人相互往來所產生的情誼。例：兩人的交情誠好。In nn̄g lâng ê kau-tsîng tsiânn hó. (他們兩人的友誼很好。)　																									
2085	交通	交通	第3級	kau-thong					【名】汽車、船舶、飛機等各種運輸工具在陸地、水上或空中的往來。																									
2086	交陪	應酬	第6級	kau-puê					1.【動】應酬、交際往來。例：伊足𠢕佮人交陪。I tsiok gâu kah lâng kau-puê. (他很會和人交際應酬。)　	2.【名】交情。例：的交陪誠深。In ê kau-puê tsiânn tshim. (他們的交情很深。)　																								
2088	光復	光復	第7級	kong-ho̍k				陷落	【動】失去再收回。例：光復失土　kong-ho̍k sit thóo(收回失去的土地)。																									
2089	交插	關係	第3級	kau-tshap					1.【動】往來、交往。例：兩个自從冤家了後，就無相交插矣。In nn̄g ê tsū-tsiông uan-ke liáu-āu, tō bô sio-kau-tshap--ah. (他們兩個自從吵架以後，就不互相往來了。)　[近]交往	2.【名】事物間的連帶關係。例：這件代誌佮伊無交插。Tsit kiānn tāi-tsì kah i bô kau-tshap. (這件事情跟他無關。)　[近]關係																								
2090	交換	調換	第7級	kau-uānn			相換、對換		【動】調換、對換。																									
2091	光景	景致	第7級	kong-kíng					1.【名】情況、境況。例：伊想欲開店做生理，我看是無三日的好光景啦！I siūnn-beh khui tiàm tsò-sing-lí, guá khuànn sī bô sann ji̍t ê hó kong-kíng--lah! (他想要開店做生意，我看好景維持不了三天啦！)　	2.【名】風景。例：徛佇山頂看山跤的光景，心情真快活。Khiā tī suann-tíng khuànn suann-kha ê kong-kíng, sim-tsîng tsin khuìnn-ua̍h. (站在山頂看山下的風景，心情真快樂。)　[近]景色、風景																								
2094	全然	全然	第5級	tsuân-jiân/tsuân-liân					【副】全部、完全。例：我全然毋知發生啥物代誌。Guá tsuân-jiân m̄-tsai huat-sing siánn-mih tāi-tsì. (我完全不知發生什麼事情。)　																									
2095	交結	應酬	第6級	kau-kiat			交陪		【動】結交。結識相交。例：伊攏交結一寡做官的。I lóng kau-kiat tsi̍t-kuá tsò-kuann--ê. (他都結交一些做官的人。)　																									
2096	先進	前輩	第5級	sian-tsìn					1.【名】先輩、前輩。	2.【形】指最進步，可成為學習、效仿對象的。例：先進國家　sian-tsìn kok-ka。[反]落後																								
2098	企業	企業	第4*級	khì-gia̍p					【名】從事生產、運輸、貿易等經濟活動的營利事業。依出資來源的不同，可分為公營企業和私人企業。																									
2099	交落	遺失	第6級	ka-la̍uh					1.【動】掉下。例：小姐，你的物件交落去矣！Sió-tsiá, lí ê mi̍h-kiānn ka-la̍uh--khì--ah! (小姐，你的東西掉了！)　	2.【動】丟失。例：我的雨傘毋知佇佗位拍交落去矣？Guá ê hōo-suànn m̄ tsai tī tó-uī phah-ka-la̍uh--khì--ah? (我的雨傘不知在哪裡丟失了？)　																								
2100	光榮	光榮	第6級	kong-îng			光彩		【名】光彩榮耀，指很有面子。																									
2101	交際	交際	第6級	kau-tsè			社交		【名】人與人之間彼此往來的聚會應酬。																									
2102	先輩	前輩	第5級	sian-puè			前輩、頂輩	下輩、後輩	【名】前輩、先進。尊稱年齡或輩份較長的人。例：先輩講的話你愛加減仔聽，才袂食虧。Sian-puè kóng ê uē lí ài ke-kiám-á thiann, tsiah bē tsia̍h-khui. (前輩講的話你要多少聽一點，才不會吃虧。)　																									
2103	休學	休學	第7級	hiu-ha̍k					【動】學生因故暫時停止課業，但能保留學籍，以後再繼續就學。																									
2104	交懍恂	發抖	第5級	ka-lún-sún	加懍恂、交懍損、加懍損				【名】身體因受驚、害怕或寒冷而發抖。例：伊驚甲規身軀起交懍恂。I kiann kah kui-sin-khu khí ka-lún-sún. (他嚇到全身發抖。)　															發冷顫	交懍恂　ka-lún-sún	交懍恂　ka-nńg-sńg; ka-nńg-sún	交懍恂　ka-nńg-sún; ka-lún-sún	交懍恂　ka-lún-sún	交懍恂　ka-líng-sún; ka-lún-sún	交懍恂　ka-lún-sún	交懍恂　ka-nńg-sún	交懍恂　ka-nńg-sún	交懍恂　ka-lún-sún	交懍恂　ka-lún-sún
2105	光頭	光頭	第7級	kng-thâu			芋圓頭、芋顱仔頭、芋顱頭		【名】頭上不留頭髮。例：攄光頭　lu kng-thâu(剃光頭)。																									
2106	份額	額度	第6級	hūn-gia̍h	分額				【名】額度。占有額，每一份應有的固定數目。例：遮的錢是我該當出的份額。Tsia-ê tsînn sī guá kai-tong tshut ê hūn-gia̍h. (這些錢是我應該出的額數。)　[近]額數																									
2107	交關	買賣	第4級	kau-kuan			買賣		【動】買賣、惠顧。例：阿公定定去彼間𥴊仔店交關。A-kong tiānn-tiānn khì hit-king kám-á-tiàm kau-kuan. (爺爺常常去那間雜貨店買東西。)　																									
2109	共	幫	第2級	kā	給	【白】kāng、【文】kiōng			1.【介】給。用來加強語氣。例：你共我會記咧！Lí kā guá ē kì--leh! (你給我記住！)　	2.【介】跟、向。例：我共你講。Guá kā lí kóng. (我跟你說。)　	3.【介】幫……。例：共伊鬥做。Kā i tàu tsò. (幫忙他做。)　	4.【介】把、將。後加「伊」而「伊」省略時，則不變調。例：共房間摒摒咧。Kā pâng-king piànn-piànn--leh. (把房間打掃一下。)；共伊放袂記。Kā i pàng bē-kì. (把他忘了。)　[近]將																						
2110	共	戲弄	第7級	【白】kāng		kā、【文】kiōng			1.【介】跟、向。例：彼項代誌伊共我講矣。Hit hāng tāi-tsì i kāng guá kóng--ah. (那件事情他跟我說了。)　[近]對	2.【動】作弄、捉弄。例：你莫去共伊。Lí mài khì kāng--i. (你不要去捉弄他。)　[近]弄、創治																								
2112	再	再	第1*級	tsài			閣		【副】重複、第二次、又一次。例：再世　tsài-sè。																									
2114	刐	騙	第4級	táinn					1.【動】用刀砍斷。例：刐甘蔗　táinn kam-tsià(砍甘蔗)。[近]剉、鏨	2.【動】撈、勒索。是比較粗俗的用法。例：你今仔日刐偌濟？Lí kin-á-ji̍t táinn guā-tsē? (你今天撈了多少？)　	3.【動】騙取。是比較粗俗的用法。例：伊予人刐一千箍去。I hōo lâng táinn tsi̍t-tshing khoo--khì. (他被騙了一千塊。)　[近]拐、唬													刐	x	x	táinn	x	x	x	táinn	tán	x	x
2115	刑	刑	第6級	hîng					1.【名】刑罰。法律上處罰罪犯方法的總稱。例：死刑　sí-hîng、刑罰　hîng-hua̍t。	2.【動】刑求、用刑。例：賊仔無刑袂招。Tsha̍t-á bô hîng bē tsiau. (盜賊不用刑求，是不會招認的。)　																								
2116	划	划	第5級	【替】kò					【動】撥水前進。例：划船　kò-tsûn。																									
2117	列	列	第6級	lia̍t					1.【量】計算排成行伍的單位。例：伊共花矸排做一列，予人欣賞。I kā hue-kan pâi tsò tsi̍t lia̍t, hōo lâng him-sióng. (他把花瓶排成一排讓人欣賞。)　	2.【動】安排、放入。例：列入　lia̍t-ji̍p。	3.【形】各個。例：列祖列宗　lia̍t tsóo lia̍t tsong(各位祖先)。																							
2118	匠	師傅	第5級	tshiūnn			師、師傅		【名】泛稱懷有技藝的人。例：木匠　ba̍k-tshiūnn。															匠	tshiǔnn	tshiūnn	tshiūnn	tshiūnn	tshiōnn	tshiūnn	tshiūnn	tshiūnn	tshiūnn	tshiūnn
2120	合	合	第5級	【白】ha̍h		【文】ha̍p、【文】kap、【白】kah			1.【動】契合。例：兩个個性會合。In nn̄g ê kò-sìng ē ha̍h. (他們兩個個性合得來。)　	2.【動】符合、吻合。例：鞋仔無合跤。Ê-á bô ha̍h kha. (鞋子不合腳。)；這領衫合你穿。Tsit niá sann ha̍h lí tshīng. (這件衣服適合你穿。)　	3.【動】適合、協調。例：這兩色配做伙無合。Tsit nn̄g sik puè tsò-hué bô ha̍h. (這兩種顏色不搭調。)　	4.【動】中意。例：這个禮物有合伊的意。Tsit ê lé-bu̍t ū ha̍h i ê ì. (這個禮物他中意。)　																						
2121	合	合	第5級	【文】ha̍p		【白】ha̍h、【文】kap、【白】kah			1.【動】閉合。例：喙攏合起來　tsuì lóng ha̍p--khí-lâi(嘴巴都合起來)。	2.【動】聚攏在一起。例：合計　ha̍p kè。	3.【動】相符、不違背。例：合理　ha̍p-lí。	4.【形】共同的、一起的。例：合約　ha̍p-iok。																						
2122	合	合	第5級	【文】kap		【白】ha̍h、【文】ha̍p、【白】kah			【量】計算容積的單位。一升的十分之一。																									
2124	吊	懸掛	第6級	tiàu					1.【動】懸掛。例：吊衫　tiàu sann(吊衣服)。[近]掛	2.【動】取消、收回。例：吊銷　tiàu-siau。	3.【動】一種傳統療法，在傷患處貼藥膏引流膿液。例：貼藥膏吊膿　tah io̍h-ko tiàu-lâng(貼藥膏引流膿液)。																							
2126	名	名	第2級	【文】bîng		【白】miâ			1.【名】人或事物的稱號。例：名稱　bîng-tshing。	2.【形】著稱的、眾人都知道的。例：名牌　bîng-pâi。	3.【名】聲譽。例：名利　bîng-lī。																							
2127	名	名	第2級	【白】miâ		【文】bîng			1.【名】人或事物的專用稱號。例：你號做啥物名？Lí hō-tsò siánn-mih miâ? (你叫什麼名字？)　	2.【名】聲譽。例：名聲　miâ-siann、有名　ū-miâ。	3.【名】成績的順位。例：頭名　thâu-miâ(第一名)、尾名　bué-miâ(殿後)。	4.【量】計算人的單位。等於「位」(uī)的用法，但是大多接用職業名稱。例：三名教師　sann miâ kàu-su。																						
2128	吐	顯露	第6級	thóo		thòo			1.【動】從口中出來。例：吐舌　thóo-tsi̍h(吐舌頭)、吐大氣　thóo-tuā-khuì(嘆氣)、吐真言　thóo tsin giân。	2.【動】露出。例：吐大腸頭。Thóo tuā-tn̂g-thâu. (露出大腸。)　[近]捅	3.【形】突出。例：吐目　thóo-ba̍k(暴眼、突眼)。																							
2129	吐	嘔吐	第6級	thòo		thóo			1.【動】嘔、反胃。例：我想欲吐。Guá siūnn-beh thòo. (我想吐。)　[近]掠兔仔、嘔	2.【動】發芽、冒出來。例：吐穗　thòo-suī。[近]發	3.【動】吐出。例：娘仔吐絲　niû-á thòo si(蠶吐絲)。																							
2130	向	彎腰	第6級	【替】ànn		【替】hiànn、【文】hiòng、【白】ǹg、【替】hiàng			【動】彎下來、俯下來。例：向腰　ànn-io(彎下腰來)、向落去　ànn--lo̍h-khì(彎下身去)。																									
2131	向	向	第2級	【替】hiànn		【替】ànn、【文】hiòng、【白】ǹg、【替】hiàng			【動】往後傾斜、往後倒。例：較向咧。Khah hiànn--leh. (往後傾斜一點。)　																									
2132	向	向	第2級	【文】hiòng		【替】ànn、【替】hiànn、【白】ǹg、【替】hiàng			1.【動】面對、趨向。例：向北　hiòng pak、向善　hiòng-siān。	2.【名】方向。例：北向　pak hiòng、這向　tsit hiòng(這個方向)。																								
2134	囝	孩子	第1級	kiánn	子				1.【名】兒女、孩子。例：兩个囝攏咧讀大學矣。In nn̄g ê kiánn lóng teh tha̍k tāi-ha̍k--ah. (他兩個孩子都上大學了。)　	2.【名】專指男生。例：查埔囝做代誌愛有擔當。Tsa-poo-kiánn tsò tāi-tsì ài ū tam-tng. (男子漢做事要有擔當。)　	3.名詞後綴。強調小或少量。例：伊酒干焦啉一點仔囝爾爾就醉矣。I tsiú kan-na lim tsi̍t-tiám-á-kiánn niā-niā tō tsuì--ah. (他才喝一點點的酒就醉了。)　													囝	kánn	kánn	kiánn	kiánn	kiánn	kiánn	kiánn	kiánn	kiánn	kiánn
2135	回	謝絕	第7級	huê/hê					1.【動】掉轉。例：回頭　huê-thâu。	2.【動】返、歸。例：回國　huê-kok。	3.【動】回應、還擊。例：回手　huê-tshiú。	4.【動】改變。例：回心轉意　huê-sim-tsuán-ì。	5.【動】答覆。例：回批　huê-phue(回信)。	6.【動】謝絕、辭去。例：回絕　huê-tsua̍t。[近]拒絕、推辭、謝絕[反]接受、接納、答應	7.【量】計算事情、行為、動作、時間、次數或長篇小說的段落單位。例：一回　tsi̍t huê。									回	hêr	hêr	hê	huê	huê	huê	hêr	hê	hêr;hê	huê
2138	在	穩	第5級	tsāi					1.【介】引介時間、地點或事情的範圍。例：算在內　sǹg-tsāi-lāi(算在裡面)。	2.【形】穩。指東西穩固或人穩重。例：坐較在咧。Tsē khah tsāi--leh. (坐穩一點。)；在膽　tsāi-tánn(有膽量)。[近]穩	3.【介】任憑。例：在你去啦！Tsāi lí khì--lah! (隨你去啦！)　	4.【介】對於、根據。例：在你的看法是按怎？Tsāi lí ê khuànn-huat sī án-tsuánn? (就你的看法如何？)　	5.【動】成熟。例：番薯大猶未在，慢且收。Han-tsî tuā iáu buē tsāi, bān-tshiánn siu. (番薯還沒成熟，暫不收成。)；人若大到在矣就免食轉骨的補藥矣。Lâng nā tuā kàu tsāi--ah tō bián tsia̍h tńg-kut ê póo-io̍h--ah. (人若長大成熟就不用吃轉骨的補藥了。)　																					
2140	合力	協力	第7級	ha̍p-li̍k				獨力	【動】協力、共同出力。例：逐家合力共門挵開。Ta̍k-ke ha̍p-li̍k kā mn̂g lòng--khui. (大家協力把門撞開。)　																									
2142	再三	屢次	第6級	tsài-sann					【副】屢次。一次又一次。例：伊再三聲明這件代誌佮伊無關係。I tsài-sann sing-bîng tsit kiānn tāi-tsì kah i bô kuan-hē. (他再三聲明這件事情和他沒關係。)　																									
2143	吐大氣	嘆氣	第5級	thóo-tuā-khuì	吐大喟		吐氣		【動】深深的嘆息。例：毋著都毋著矣，你就莫閣佇遐吐大氣矣。M̄-tio̍h to m̄-tio̍h--ah, lí tō mài koh tī hia thóo-tuā-khuì--ah. (錯都錯了，你就別在那邊嘆氣了。)　																									
2146	吉日	烈日	第7級	kiat-ji̍t/kiat-li̍t			大日、好日	歹日	【名】好日子。例：良辰吉日　liông-sîn kiat-ji̍t。																									
2147	同心	齊心	第7級	tông-sim			一心、齊心	各心	【名】一心、齊心。同樣的意志、想法。例：同心協力　Tông-sim hia̍p-li̍k。																									
2153	在世	在世	第6級	tsāi-sè			在生		【動】生存於世上。例：人生在世，毋免傷計較。Jîn-sing tsāi-sè, m̄-bián siunn kè-kàu. (人活著，不要計較太多。)　																									
2157	囡仔囝	幼童	第6級	gín-á-kiánn					【名】小孩子。例：囡仔囝毋捌代誌，毋通磕袂著就共伊拍。Gín-á-kiánn m̄ bat tāi-tsì, m̄-thang kha̍p-bē-tio̍h tō kā i phah. (小孩子不懂事，不要動不動就打他。)　															小孩子	囡仔　gín-á	囡仔　gín-á	囡仔　gín-á	囡仔　gín-á	囡仔　gín-á, 囡仔人　gín-á-lâng, 囡仔囝　gín-á-kiánn	囡仔　gín-á, 囡仔人　gín-á-lâng, 囡仔囝　gín-á-kiánn	囡仔　gín--á	囡仔　gín--á	囡仔　gín-á	囡仔　gín-á
2164	合用	適用	第5級	ha̍h-īng					【動】適用。例：這个皮包仔傷細跤，無合用。Tsit ê phuê-pau-á siunn sè kha, bô ha̍h-īng. (這個皮包太小了，不合用。)　																									
2166	在生	在世	第6級	tsāi-senn/tsāi-sinn			在世		【名】生前、在世。人活著的時候。例：在生食一粒塗豆，較贏死了拜一个豬頭。Tsāi-senn tsia̍h tsi̍t lia̍p thôo-tāu, khah iânn sí-liáu pài tsi̍t ê ti-thâu. (在世時拿一顆花生孝敬，好過死後用一顆豬頭祭拜。意思是說為人子女應及時孝敬父母，而非等父母死後才隆重祭拜。)　																									
2168	吐吐	突出	第5級	thóo-thóo					【動】伸出、突出。例：目睭吐吐　ba̍k-tsiu thóo-thóo(眼睛突出)。																									
2170	同年	同年	第5級	tâng-nî			年		見【年】siāng-nî 條。																									
2171	名字	姓名	第1級	miâ-jī/miâ-lī			名姓		【名】姓名。																									
2172	在地	當地	第4*級	tsāi-tē/tsāi-tuē			本地		【名】當地、本地 。例：這是在地的果子。Tse sī tsāi-tē ê kué-tsí. (這是本地的水果。)　																									
