UID	role	content	issuePageLine	book
12260	NULL	過後秀才娘，即更拖一個死屍像伊置住元位當等伊，	10-59-9	語苑二十四
12261	NULL	去埋彼個人返來，即向伊講，	10-59-10	語苑二十四
12262	NULL	「汝是怎樣向伊埋咧，死人遂比汝在先返來呢，	10-60-1	語苑二十四
12263	NULL	今着更攑去埋嗬，返來錢即給汝。」	10-60-2	語苑二十四
12264	NULL	埋死人的，雖然是想講豈有此款的奇事，	10-60-3	語苑二十四
12265	NULL	不拘無法度，亦着更攑去埋彼前囘彼個更較深即返來。	10-60-4	語苑二十四
12266	NULL	返來到門腳口，看見秀才娘恰若親像等伊沒得到呢，	10-60-6	語苑二十四
12267	NULL	見面就對伊講，曖呦汝是怎樣豈不緊牽去埋咧，	10-60-7	語苑二十四
12268	NULL	汝看咧，叉更走返來在此，一下入去看，	10-60-9	語苑二十四
12269	NULL	果真有影穿同款的死何尚，更走倒返來的款，	10-60-10	語苑二十四
12270	NULL	姑不終又更對攑去埋。	10-60-11	語苑二十四
12271	NULL	親像此款埋七八個，更較埋亦走返來，埋到遂天要光去嘮。	10-60-12	語苑二十四
12272	NULL	埋死人的想講今不埋汝嘮，要來向你{絕+刀}落屎礐仔內，	10-61-2	語苑二十四
12273	NULL	看汝尚能得返來沒，如此想抑將煞尾彼個屍首，與伊{絕+刀}落去大礐仔內。	10-61-4	語苑二十四
12274	NULL	適好有一個和尚在漏尿的的，不知何時仔來，	10-61-6	語苑二十四
12275	NULL	踞在彼屎礐仔內在放使無張無持聽見一聲真大聲，	10-61-8	語苑二十四
12276	NULL	不知甚麼下落屎礐仔內裡，着伊經趕緊走出來。	10-61-9	語苑二十四
12277	NULL	賭博仙看見何尚走出來，不知拿做是彼個死何尚，	10-61-11	語苑二十四
12278	NULL	又更扒起來要倒返去呢，趕緊對彼個在放屎的和尚講，	10-61-12	語苑二十四
12279	NULL	「我不知與你埋幾囘喇呢，連此下九回嘮汝知否，今當汝沒住嘮」，	10-62-1	語苑二十四
12280	NULL	如此講了，將伊攑來彼枝鋤頭去對伊摃死，更對伊拖去{絕+刀}落屎礐仔內。	10-62-3	語苑二十四
12281	NULL	抑對秀才娘，要討埋九囘的額四元半銀，	10-62-6	語苑二十四
12282	NULL	秀才娘講「屍首敢不是一個而已，照約束我提五白錢給汝嗬」賭博仙講，	10-62-8	語苑二十四
12283	NULL	着更是着咧，不拘正奇怪，與伊{絕+刀}落礐仔，亦尚能更扒起來喇。	10-62-10	語苑二十四
12284	NULL	臺語和譯 包公政談 (一六)	10-65	語苑二十四
12285	NULL	楊慶講，阮岳父有寫一張遺囑，	10-65-1	語苑二十四
12286	NULL	明明講不是伊生的，沒使得爭執較闊，	10-65-2	語苑二十四
12287	NULL	現有遺囑可做證，就將遺囑字送給包公看。	10-65-3	語苑二十四
12288	NULL	包公看了，講汝讀了差喇。	10-65-5	語苑二十四
12289	NULL	明明汝的心術不好被恁岳父看破，所以寫出此款的字，	10-65-6	語苑二十四
12290	NULL	不過暫交汝管，瞞俾汝安心，	10-65-8	語苑二十四
12291	NULL	可保全的幼子，免汝陷害就是了。	10-66-1	語苑二十四
12292	NULL	這遺囑明明講(八十老翁生一子，	10-66-3	語苑二十四
12293	NULL	家產田園盡付與)是要給伊此個子嗎。	10-66-4	語苑二十四
12294	NULL	楊慶講，不拘有寫，人言非是我生子也，	10-66-5	語苑二十四
12295	NULL	又寫付與女婿，外人不得爭取。	10-66-6	語苑二十四
12296	NULL	包公講，這是特工寫如斯俾汝安慰的，	10-66-7	語苑二十四
12297	NULL	汝貪着錢財才心肝烏暗，遂看沒出了，	10-66-8	語苑二十四
12298	NULL	豈有自己生的兒子，憑人講的話，就看做外人的情理。	10-66-10	語苑二十四
12299	NULL	此張遺囑勢如斯讀，八十老翁生子，人言非，	10-67-1	語苑二十四
12300	NULL	是我生子也，家產田園盡付與，女婿外人不得爭取。	10-67-2	語苑二十四
12301	NULL	讀起來攏有押韻，是講八十歲的老大人，生一個子，	10-67-4	語苑二十四
12302	NULL	人講的話不着是我所生的子啊，家產田園，	10-67-6	語苑二十四
12303	NULL	一盡給伊，伊子婿是外人沒使相爭提去。	10-67-7	語苑二十四
12304	NULL	講汝是外人，雖然交汝管，沒使參伊子相爭麼。	10-67-8	語苑二十四
12305	NULL	恁岳父此款的用意，不免講亦知，汝是歹人，	10-68-1	語苑二十四
12306	NULL	所以用此款來瞞騙汝麼，汝那尚有甚麼可分辯。	10-68-3	語苑二十四
12307	NULL	楊慶聽見包公念出來解說了，有理氣，親像當時，	10-68-4	語苑二十四
12308	NULL	有在場，親目看見咧，不敢抗辯。	10-68-6	語苑二十四
12309	NULL	將元前接受的家業，契卷賬簿，一一當堂交還翁隆。	10-68-7	語苑二十四
12310	NULL	傍邊來看問案的人，攏講包公真正神斷，大家不止感服。	10-68-9	語苑二十四
12311	NULL	其二 注意	11-9	語苑二十四
12312	NULL	若到年尾，就有火災賊厄，其他種種的事情愈多。	11-9-1	語苑二十四
12313	NULL	這卻是每年的例，總是彼個原因，是因為大家無閑，遂失真啄所致的。	11-10-2	語苑二十四
12314	NULL	所以自今以後，大家欲相警戒斟酌，來圖謀安穩即能用得。	11-10-4	語苑二十四
12315	NULL	尚更今年因為五路乾竭，遂無頭路可趁食，難得可度過日的真多。	11-10-6	語苑二十四
12316	NULL	為此，使種種的手段，來做詐欺，也是做賊的加真多。	11-10-8	語苑二十四
12317	NULL	有個片人講為着公共慈善的事業東西，伊攏無去請，私下出來招人題捐。	11-10-10	語苑二十四
12318	NULL	講甚麼豫約販賣，講彼號白賊，來詐人定銀的亦有。	11-11-1	語苑二十四
12319	NULL	其三 同(2)	11-12	語苑二十四
12320	NULL	若倚年，街路來往的真多相接續。	11-12-1	語苑二十四
12321	NULL	所以恁若去街裡，着較斟酌，若無斟酌，就能去被自動車[食+夾]着傷咧。	11-12-2	語苑二十四
12322	NULL	街路的確着行亭仔腳，也是行路的旁邊即能使得。	11-13-2	語苑二十四
12323	NULL	若要過十字路頭，也是穵角的時，斟酌看左右前後，看了無危險，即過去。	11-13-4	語苑二十四
12324	NULL	雖然是全日無閑切切，拖勞了真倦，暗時着小心門戶，不可沒記得關門，就去睏。	11-13-7	語苑二十四
12325	NULL	要睏的時，欲斟酌看厝的外面，有甚麼物沒記得收也無，而後閂門閂好好即可去睏。	11-13-10	語苑二十四
12326	NULL	尚復火爐灶其他恐驚有火的所在，另外較斟酌，創俾伊沒燃不可失火，即能用得。	11-14-2	語苑二十四
12327	NULL	其四 街路取締	11-16	語苑二十四
12328	NULL	你若有許可，却能使得住亭仔脚搬戲，總是戲棚不可搭向路彼旁。	11-16-1	語苑二十四
12329	NULL	若俾此多人竪住路裡看戲，路就攏無處可過麼。	11-16-3	語苑二十四
12330	NULL	戲棚看你要復重搭換旁，尚若不，向路的彼旁，着閘布帆，俾人住路裡沒處看即能使得。	11-16-5	語苑二十四
12331	NULL	尚看戲的人，俾{伊+心}住亭仔脚看，不可佳此陣路。	11-16-8	語苑二十四
12332	NULL	雖然是有許可，不拘然後若看做有保安上要緊的時，	11-16-10	語苑二十四
12333	NULL	彼個許可，就能便得對你取消，也是對你制限咧。	11-16-10	語苑二十四
12334	NULL	其五 荷車取締	11-18	語苑二十四
12335	NULL	唉且等咧，你不可坐在車仔頂。	11-18-1	語苑二十四
12336	NULL	好好，我不是在坐的。置在車頂一包貨險險要加落去，我即向伊創俾好的。	11-18-2	語苑二十四
12337	NULL	白賊，無影無跡。我隨恁脚川後來。明明俾我看着恁彼隻牛設使若荒荒走去，看你要怎樣，成危險嗎。	11-18-5	語苑二十四
12338	NULL	明明俾我看着恁彼隻牛設使若荒荒走去，看你要怎樣，成危險嗎。	11-18-5	語苑二十四
12339	NULL	大人啊，此隻牛乖乖，免驚牛能走。	11-18-8	語苑二十四
12340	NULL	彼你彼賢爭。恁平素攏無注意放出在伊去。實在真危險。	11-19-1	語苑二十四
12341	NULL	我都不知影。今我不着未是。後次不敢。此次諒情我咧嗬。	11-19-3	語苑二十四
12342	NULL	亦遂能使得諒情。	11-19-5	語苑二十四
12343	NULL	其六 素行檢查(承前)	11-21	語苑二十四
12344	NULL	含厝內的人衣裳與手指手環以及簪仔頭插彼款的金器來算，差不多值得若多。	11-21-1	語苑二十四
12345	NULL	若要算彼的物，至少亦有七八百元。	11-21-4	語苑二十四
12346	NULL	伊另外有做生理的資金無。	11-21-5	語苑二十四
12347	NULL	伊做小生理，若有亦是三五百元息。	11-21-6	語苑二十四
12348	NULL	不知有欠人也無。	11-21-7	語苑二十四
12349	NULL	我聽見講伊頂日仔搖着五百元的會金，這已經搖十次去，	11-21-8	語苑二十四
12350	NULL	尚着更納十次的會金計二百五十元即能清楚，另外打算敢無。	11-21-8	語苑二十四
12351	NULL	伊一月日所趁的大約有若多，尚亦{伊+心}兄弟仔各人食也是做夥食的。	11-22-4	語苑二十四
12352	NULL	生理兄弟公家做公家趁，若要照分一人敢有五六十元，食是隨人。	11-22-6	語苑二十四
12353	NULL	其七 口述試驗問題	11-23	語苑二十四
12354	NULL	農民組合與文化協會，漸漸衰微去，打算是因為百姓自己醒悟所致的。	11-23-1	語苑二十四
12355	NULL	今仔日此條街迎鬧熱，人真多夾到，不可騎自轉車，着緊落來咧。	11-24-2	語苑二十四
12356	NULL	大人，此號此要緊的事情，我沒注意得，阮查晡人若返來，我即與伊參商看覓得。	11-24-4	語苑二十四
12357	NULL	我頂日拜託汝此層事情，今不知按怎樣，有定着尚未，若有定着請汝為我通知咧。	11-24-7	語苑二十四
12358	NULL	應該都向汝辦罪即合式，總是帶着汝平素老實，盡此次而已諒情汝寄案。	11-24-10	語苑二十四
12359	NULL	在臺灣現此時交通亦真利便，衛生的設備真齊全，不彼向時的台灣。	11-24-1	語苑二十四
12360	NULL	其八 雜	11-26	語苑二十四
12361	甲	恁隔壁不時不是打就是罵。彼是怎樣着。	11-26-1	語苑二十四
12362	乙	彼是在罵{伊+心}媳婦仔喇，今年即十四歲而已，	11-26-3	語苑二十四
12363	NULL	定定押伊着趁食，昨冥有一個人客，限要一對金手環給伊要為伊開對。	11-26-3	語苑二十四
12364	NULL	查某囝仔不肯。遂做伊走去匿，早返起來被恁姑家罵一場，打一場，直直罵，	11-26-6	語苑二十四
12365	NULL	罵罵更再打，查某囝仔刻到要死去，實在真可憐。	11-26-6	語苑二十四
12366	甲	咱台灣人親像如此風俗，若毒媳婦仔，此呢無天良，	11-27-4	語苑二十四
12367	NULL	我即常常罵阮牽手呌伊查某子不可為我賣人咧。	11-27-4	語苑二十四
12368	乙	□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□。	11-27-7	語苑二十四
12369	NULL	甲科警察語學講習資料	11-29	語苑二十四
12370	NULL	其一 保甲會議席上演講	11-29	語苑二十四
12371	NULL	明人不做暗事。所以接接人着用誠心誠意。將博愛心來款待人即好。做一句講。	11-29-1	語苑二十四
12372	NULL	公光明正大就是。因為光明正大。是無私無偏的博愛心。	11-29-2	語苑二十四
12373	NULL	諸君着貴重此個博愛心及好。而且恁列位對彼號社會公眾的博愛事業。	11-29-2	語苑二十四
12374	NULL	應該着不時關心察知影彼號虛實。	11-29-2	語苑二十四
12375	NULL	因為博愛事業全是為社會公共的利益。	11-29-4	語苑二十四
12376	NULL	所以顧自己的方便及利益來做博愛慈善這是偽善者。	11-29-4	語苑二十四
12377	NULL	不拘顯明講博愛做慈善事業的其中。無料顛倒有惡毒貪利主義的人。	11-29-5	語苑二十四
12378	NULL	若用彼款賣人情討便宜的手段來做博愛慈善續能敗壞道德。	11-29-6	語苑二十四
12379	NULL	世間有彼的窓光的人。都猶原俾人能迷惑去。續至初悽慘的事。	11-29-7	語苑二十四
12380	NULL	這是不知人生的本相所致的真可嘆。	11-29-7	語苑二十四
12381	NULL	君子人在要無去嘮。人所講。那像好玉欠缺歹玉愈多。	11-29-8	語苑二十四
12382	NULL	是看近來的世情人心漸漸惡化。	11-29-8	語苑二十四
12383	NULL	假仁假義的人有大甫四界。自身不能保。焉能保他人。	11-30-1	語苑二十四
12384	NULL	無貪着富貴榮華。自一片至誠的心肝發出來的是正慈善。	11-30-2	語苑二十四
12385	NULL	尚亦是做人的本心。真心做出的博愛慈善。	11-30-2	語苑二十四
12386	NULL	要做的事情若有成功都可以滿足。豈可有對世間展風神的必要咧。	11-30-3	語苑二十四
12387	NULL	其二 同(2)	11-31	語苑二十四
12388	NULL	若對私心出來的。更較按怎做都是無合理。背着天地的公道。	11-31-1	語苑二十四
12389	NULL	逆着自然的順理。息尾得卻難免自滅。	11-31-1	語苑二十四
12390	NULL	古人講善欲人見不是真善」所以有心做博愛慈善的人。若無着時去做。	11-31-2	語苑二十四
12391	NULL	利用此個來做賣名的利器。所做的慈善那親像夢中幻影。	11-31-3	語苑二十四
12392	NULL	有麝自然香。人若有十二分的涵養。彼號高尚優美的品格。自然現出燦爛的榮光。	11-31-4	語苑二十四
12393	NULL	這博愛慈善的價值。是無一點仔污穢。真心實意發露出來的就是。	11-31-5	語苑二十四
12394	NULL	因為做好事的其中暗中來做的最第一好事。	11-31-5	語苑二十四
12395	NULL	如施惠無念。此款的心性真公明攏無一屑仔曖昧。	11-31-6	語苑二十四
12396	NULL	人講溺愛不明。這博愛亦着有程度。	11-31-7	語苑二十四
12397	NULL	若偏愛續失了博愛的真義。所以得確着維持博愛的本質。	11-31-7	語苑二十四
12398	NULL	博愛的真義。敢不是在做事的成敗。是在各人的品格及精神。	11-31-8	語苑二十四
12399	NULL	各個若用此款的心肝來結成保甲團。保內就能和氣春風較圓滿。	11-31-9	語苑二十四
12400	NULL	若各位通通如此就能使得講是國泰民安。	11-31-9	語苑二十四
12401	NULL	因為人格是品氣性格。所以免用虛偽粧飾。	11-31-10	語苑二十四
12402	NULL	不管甚麼所在亦着保持嚴正的品格體面。	11-31-10	語苑二十四
12403	NULL	其三 同(3)	11-32	語苑二十四
12404	NULL	品格的難根頭。是愛惜本分的自主自重的精神。	11-32-1	語苑二十四
12405	NULL	修養品格算是一種的精神教育。	11-32-1	語苑二十四
12406	NULL	所以愛着恁各為自覺不免等候人講。自己能曉奮發修養即能使得。	11-32-2	語苑二十四
12407	NULL	若有倚賴別人的卑鄙心。是真軟弱。連鞭就廢墮。	11-32-4	語苑二十四
12408	NULL	沒處成功。外面更較好看。若無彼號道義心。內面空虛。	11-32-4	語苑二十四
12409	NULL	那像三分姿娘四分打扮。這要修養愛着始終勤勉俾伊精力根本。永遠能處發揮較要緊。	11-32-2	語苑二十四
12410	NULL	若貪着趕緊。沒忍得久遠的修養。快熱快冷。	11-33-1	語苑二十四
12411	NULL	都是薄志弱行的。望恁諸君着能忍得千辛萬苦。	11-33-1	語苑二十四
12412	NULL	有得確要貫徹彼號目的的志氣即能使得。人若時常天秤真夯去正。絲毫亦無偏蓋人。	11-33-2	語苑二十四
12413	NULL	保甲民攏着較重。自然能公敬信靠伊。	11-33-3	語苑二十四
12414	NULL	其四 (4)	11-33	語苑二十四
12415	NULL	亦復近來世間的狀態。不時在進步。變遷是無際限。	11-33-5	語苑二十四
12416	NULL	人的智識是較能征服自然界。攏無利用這都沒息得。	11-33-5	語苑二十四
12417	NULL	所以恁保甲團。若干乾歡喜照現狀維持。不求向上發展。	11-34-1	語苑二十四
12418	NULL	漸漸離開世間向上發展的原則。得確趇時勢沒着。	11-34-1	語苑二十四
12419	NULL	原來向上發展的精神。是做人沒使得欠缺的事情。	11-34-2	語苑二十四
12420	NULL	社會的進益是世間人向上的心意發出來的。	11-34-2	語苑二十四
12421	NULL	因為講向上發展是征服自然界。這來利用真多項的狀態就是。	11-34-4	語苑二十四
12422	NULL	人不勸不善，所以恁常時感化薰陶保民。	11-34-4	語苑二十四
12423	NULL	是第一緊急的事情。恁列位愛着勸苦力行一時仔都無怠慢來修養善美的品格即能使得。	11-34-5	語苑二十四
12424	NULL	我想到此層。若不是望恁列位大大的覺悟。	11-34-6	語苑二十四
12425	NULL	續沒煞得。尚為着輪理及宗教更要講一句話。 (未完)	11-34-6	語苑二十四
12426	NULL	廣東語譯 乙科警察語學講習資料 (四十七)	11-35	語苑二十四
12427	NULL	其一 基本語	11-35	語苑二十四
12428	NULL	請汝大家竪起來同一行禮。	11-35-1	語苑二十四
12429	NULL	今不着殺猛竪食飯，人各位去了喇。	11-35-2	語苑二十四
12430	NULL	愛起武廟，大間細問該看題捐多少正來決定。	11-35-4	語苑二十四
12431	NULL	你暗算何樣時起工到何樣時正能完工。	11-35-6	語苑二十四
12432	NULL	講伊對明年起，就愛起佃自家飯。	11-35-8	語苑二十四
12433	NULL	昨餔下晝有些細人仔在該大樹下在該戱忽然間響大雷公該些細人仔攏了了。	11-35-9	語苑二十四
12434	NULL	該條案五六年前到今尚未結局正費氣。	11-35-12	語苑二十四
12435	NULL	先生你个酒量較大我知喇請你盡勢飲咧。	11-35-14	語苑二十四
12436	NULL	該个保正誥勢頭在欺負苦人。	11-36-1	語苑二十四
12437	NULL	按重個擔我奈擔得起。	11-36-2	語苑二十四
12438	NULL	自然暗餔發熱到此下尚未退。	11-36-3	語苑二十四
12439	NULL	此個病不能斷根另日能更起。	11-36-4	語苑二十四
12440	NULL	阿哥真嚴條小弟驚到能死。	11-36-5	語苑二十四
12441	NULL	其二 美容術營業場臨檢	11-36	語苑二十四
12442	NULL	美容術師食酒有酒味个時節同人客創做不得。	11-36-6	語苑二十四
12443	NULL	同人客裝个時節的確着掛嘴掩亦愛穿較净麗个白衫正做得。	11-36-8	語苑二十四
12444	NULL	圍首頸个也係疊頭殼个東西，若係用白紙見用見擲徹係用白布見用見消毒正做得。	11-36-10	語苑二十四
12445	NULL	生癬生瘡仔脫毛以外皮膚病攏真能染人你亦係所知。	11-36-13	語苑二十四
12446	NULL	倚着人客皮膚个器具一概竝面巾消毒了無好勢喇，着更十分消毒正好。	11-36-15	語苑二十四
12447	NULL	尚你个手摸到人客个面此不使講亦着見創見消毒正好。	11-36-18	語苑二十四
12448	NULL	其三 宿屋臨檢	11-36	語苑二十四
12449	NULL	此個婦人家自該次就住你此住到按久，不時抹粉粧扮伊在做甚麼頭路。	11-36-20	語苑二十四
12450	NULL	聽講伊在偷贃係無。	11-37-3	語苑二十四
12451	NULL	你甚麼時節來此尚此下在做甚麼。	11-37-4	語苑二十四
12452	NULL	我在做裁縫此無頭路可做，此幾日內我想愛去屏東。	11-37-5	語苑二十四
12453	NULL	你講做裁縫業亦無家伙亦無裁縫車仔樣搬能講得做裁縫。	11-37-7	語苑二十四
12454	NULL	人在風聲講你住此內肚在贃從今以後我能霎霎來同你探看哪咧。	11-37-9	語苑二十四
12455	NULL	頭家啊，我愛上去樓頂看有拖鞋無。	11-37-11	語苑二十四
12456	NULL	有嗬拖鞋買較多亦連鞭無去，所以無人客个時收起來藏。	11-37-12	語苑二十四
12457	NULL	其四 收穫調查	11-37	語苑二十四
12458	NULL	此下愛問你芎蕉个事情一甲園平均收幾多斤。	11-37-14	語苑二十四
12459	NULL	一甲地平均有可收二萬三千四百斤，細算起錢來講差不多五百八十元。	11-37-16	語苑二十四
12460	NULL	若係按樣，該个生產費照頭先所講該項來算愛幾多錢。	11-37-19	語苑二十四
12461	NULL	未愛我算看哪咧。生產費計共愛六百零七元。	11-37-21	語苑二十四
12462	NULL	按樣種芎蕉一甲地收入五百八十元，費用六百零七元，結局倒了二十七元嗎。	11-38-2	語苑二十四
12463	NULL	係都着嗎，現時第一刻虧係我耕種人蒔田亦了。	11-38-5	語苑二十四
12464	NULL	種甘蔗亦了種芎蕉亦失本實在行不得，我耕種人个艱苦，你做官人攏不知。	11-38-6	語苑二十四
12465	NULL	該不係不知我不時亦同你等調查去報告	11-38-9	語苑二十四
12466	NULL	係愛照汝按樣講个時米參甘蔗芎蕉比較起來結局種甘蔗較有盤嗬真承蒙咧。	11-38-9	語苑二十四
12467	NULL	你請。	11-38-12	語苑二十四
12468	NULL	其五 無賴漢取締	11-38	語苑二十四
12469	NULL	伊一旦有改變做頭路咧。此下復俾伊去做鱸鰻按樣無採我費心神勸謂伊。	11-38-13	語苑二十四
12470	NULL	該個係一時假改變做好人，來瞞騙人个耳目而已。	11-38-16	語苑二十四
12471	NULL	該個那能正經改變做好入阿該不使想。	11-38-18	語苑二十四
12472	NULL	總着愛對伊訓戒，不可復做鱸鰻四界流。	11-38-20	語苑二十四
12473	NULL	拜託你保正，你亦對伊講看哪仔我亦尋機會愛勸戒伊。	11-39-1	語苑二十四
12474	NULL	尚你不時愛斟酌看伊个行踏，係有聽人講伊做歹事隨時愛來對我講嗄。	11-39-3	語苑二十四
12475	NULL	其六 衛生上注意	11-39	語苑二十四
12476	NULL	米汁水不可倒在此號桶裡藏久久各日愛喊倒汁來倒即做得。	11-39-6	語苑二十四
12477	NULL	汁係藏久就能變臭，臭倒能激死人。	11-39-8	語苑二十四
12478	NULL	尚不知按樣，就能發生烏蠅蚊仔能碍到衛生所以你着緊緊擔去別位傾徹伊。	11-39-10	語苑二十四
12479	NULL	此係特工留得愛畜豬的个此下白白傾徹按樣真打損。	11-39-13	語苑二十四
12480	NULL	按樣亦係不可藏按久你係愛畜豬，見有見俾豬食喇，尚復無蓋蓋都做不得。	11-39-15	語苑二十四
12481	NULL	你屋後背个臭溝仔裡，有一隻死貓仔你不可擲在該號所在。	11-39-18	語苑二十四
12482	NULL	該不係我內肚个人直个敢係上日仔做風颱該時流來个。	11-39-20	語苑二十四
12483	NULL	總着愛拿去別位埋正做得。	11-39-22	語苑二十四
12484	NULL	其七 救護	11-40	語苑二十四
12485	NULL	噯不知甚麼嗬，此下有聽到在下背該旁丼一下親像人跳落水个聲咧。	11-40-1	語苑二十四
12486	NULL	倘採係頭下仔該个婦人家跳落水亦無的確。	11-40-3	語苑二十四
12487	NULL	你趕緊撑船撑對該旁去嗄。	11-40-5	語苑二十四
12488	NULL	何位何位，在何位跳落去个此喇此喇。	11-40-6	語苑二十四
12489	NULL	此位有一雙樹屐敢係對此跳落去个竹筏趕緊撑過此旁來。	11-40-8	語苑二十四
12490	NULL	被水流去在下背也不係，船更駛較下背該旁去尋看哪咧。	11-40-10	語苑二十四
12491	NULL	尋攏無敢係沉落去在此位仔着泳落去摸看哪咧。	11-40-12	語苑二十四
12492	NULL	你着走去保正該喊伊緊召壯丁成十個俾伊帶手網來拋。	11-40-14	語苑二十四
12493	NULL	其八 口述試驗用語	11-40	語苑二十四
12494	NULL	從今以後各項事情部愛俾汝保正相帮賛請你着較盡力咧。	11-40-16	語苑二十四
12495	NULL	為着國家个事情，有成時仔能害到個人利益，亦無的確。	11-40-18	語苑二十四
12496	NULL	伊近來暈婦人家濫糝開，用錢親像人用水咧，該個錢不知對何位來。	11-40-20	語苑二十四
12497	NULL	警務用語 (十五)	11-41	語苑二十四
12498	NULL	台灣 違警例用語 (下)	11-41	語苑二十四
12499	NULL	大人查到彼呢詳細都無法度，我要認喇，總是此久攏無生理，	11-41-1	語苑二十四
12500	NULL	頭嘴真多艱苦度日，算是姑不終的，望恁較諒情呢。	11-41-1	語苑二十四
12501	NULL	諸君啊，且停腳仰望聽我一個無名青年得對時局的意見，	11-41-5	語苑二十四
12502	NULL	諸君敢不知現在日本二個大問題，	11-41-5	語苑二十四
12503	NULL	對內者人所講赤字問題，對外者滿州事變………。	11-41-5	語苑二十四
12504	NULL	辯士緩且講，住在厝外沒使得政事也是較渾化政事的事情，今汝與我來去警察署。	11-42-1	語苑二十四
12505	NULL	日本百姓的言論自由，是日本憲法所在保障的，	11-42-4	語苑二十四
12506	NULL	汝怎樣終止我的演說{毛+灬}到此號所在我要對汝抗議。	11-42-4	語苑二十四
12507	NULL	汝此個人嘴真[口+聿][口+聿]出，若要共人講論政事也是國家的大事的人，	11-42-7	語苑二十四
12508	NULL	着先究堪法律與規矩即好，	11-42-7	語苑二十四
12509	NULL	憲法所在保障亦是法律界內的言論自由而已這看憲法就明其知嗎。	11-42-7	語苑二十四
12510	NULL	國家的大事是各條當局者在活落，免恁撑頭，寧可安份守己勿俾官人費心神即好。	11-43-1	語苑二十四
12511	NULL	現此時的學生像恁此款放棄讀書欲插社會也是講論政事的人真多，	11-43-4	語苑二十四
12512	NULL	自己不識半項的世事來欲插此款，遂能誤了一身。	11-43-4	語苑二十四
12513	NULL	汝敢不知頂帮某人的後生俾關，就是因為唆使農民結黨使弄{伊+心}抗租也是抗納錢糧的。	11-44-1	語苑二十四
12514	NULL	無論何事情，多人共謀也是唆使弄真多人，來做到害着公共秩的行踏是沒使得。	11-44-4	語苑二十四
12515	NULL	不良少年對說諭	11-49	語苑二十四
12516	警	唉天恩啊，汝一日食飽干乾四界遊取一步與人冤家無做何貨[金+歷]	11-49-1	語苑二十四
12517	NULL	「做人着秉做鷄着筅」那不大小做一項頭路咧。	11-49-1	語苑二十四
12518	民	汝亦在對我閑。我有飯可食都好嗎。	11-49-5	語苑二十四
12519	警	汝講如此亦着，總是今汝歲頭亦食到十八九歲。	11-49-6	語苑二十四
12520	NULL	聽人講汝自細傼的時，恁老父都歸仙去。干乾恁老母一人。	11-49-6	語苑二十四
12521	NULL	拖身拖命。來飼汝到此大傼。恁老母無別人可倚靠。	11-50-1	語苑二十四
12522	NULL	盡向汝一人。汝若少許的頭路罔去做，免得俾恁老母煩惱。	11-50-1	語苑二十四
12523	NULL	這敢不是真好的事情嗎。	11-50-4	語苑二十四
12524	民	我都不是要俾阮老母生的，是伊生我的。所以着飼我到老這不是應該。	11-50-5	語苑二十四
12525	警	汝真賢練戆話。無採恁老母生汝出世的時，	11-50-8	語苑二十四
12526	NULL	掩着講是有玍巴的，暢較要死去。來飼汝到此大傼。	11-50-8	語苑二十四
12527	NULL	費了恁老母一點的功勞。沒處俾恁老母安心過日，這亦是着反省的所在。	11-50-10	語苑二十四
12528	NULL	俗語在講「煙火好看無若久」，汝算是少年的人要打傾當當時，汝若改頭換面，	11-51-1	語苑二十四
12529	NULL	從此去來盡力打傾，後來要變若賢的人，抑是要到若好額的人，算是無的確嗎。	11-51-3	語苑二十四
12530	民	彼是有影喇。總是汝亦所知。此款的景氣。要趁亦是無處趁，姑不而終不即[廴+日][廴+月]咧。	11-51-7	語苑二十四
12531	警	「總是君子不臨危。這是不是好打算嗎」。	11-51-10	語苑二十四
12532	NULL	人講「無恒產就無恒心」當今到是無資產自然人都看咱無現。	11-51-10	語苑二十四
12533	NULL	俗語亦在講，有錢使鬼就能挨磨」，汝干乾白白了日子，	11-52-1	語苑二十四
12534	NULL	攏沒曉打算。別日食到老就能艱苦嘮。	11-52-1	語苑二十四
12535	NULL	亦更古人講，「人死留名虎死留皮」淡薄打傾存一些老本。	11-52-4	語苑二十四
12536	NULL	不即語人能平做竪，這豈不是應該呢。	11-52-4	語苑二十四
12537	NULL	人講。驕者不久親像當今恁此款的少年人，欲奢華，不欲趁較加都能害嘮。	11-52-7	語苑二十四
12538	民	「大人啊，我的耳孔聽到飽飽嘮。此次受汝的點醒，不正真努力，	11-52-10	語苑二十四
12539	NULL	我自今以後，的確要骨力打傾喇。」	11-52-10	語苑二十四
12540	NULL	實話寸感	11-54	語苑二十四
12541	NULL	比是在新公園內音樂堂，在奏樂彼暗，	11-54-1	語苑二十四
12542	NULL	東旁的後面有二對內地人的夫仔妻，坐在椅裡在聽音樂。	11-54-1	語苑二十四
12543	NULL	一對夫仔妻導一個三四歲的查某囝仔，	11-54-4	語苑二十四
12544	NULL	一站的曲息，比個囝仔不知想怎樣打曝笑到□□呌。	11-54-4	語苑二十四
12545	NULL	適彼時對彼差不多離六尺遠的所在，有一個本島人，拖一張細隻車，	11-54-7	語苑二十四
12546	NULL	在賣瓜子嘮柚仔嘮紅柿嘮東西，此個本島人講。	11-54-8	語苑二十四
